ᎡᎦ	e³ga	ee3ga
ᏍᏕᎾ	sde¹na	sdee1na
ᎢᏁᎾ	i¹ne¹na	ii1nee1na
ᏓᎩᎠ	dạ²gị³ɂa	da2gi3-a
ᎢᎩᎭ	i¹gi²ha	ii1gii2ha
ᎢᏕᎾ	i¹de¹na	ii1dee1na
ᏥᎪᎲᎢ	ji²go²hv²³ɂi	jii2goo2hvv23-i
ᎢᏤᎾ	i¹je¹na	ii1jee1na
ᎣᎩᎭ	o¹gi²ha	oo1gii2ha
ᎤᏂᎭ	u¹ni²ha	uu1nii2ha
ᏓᎩᎰᎢ	da¹gị²ho³ɂi	daa1gi2hoo3-i
ᏕᎩᎭ	de³gi²ha	dee3gii2ha
ᎡᎪᎵᎦ	e¹go²li¹ga	ee1goo2lii1ga
ᏓᏂᎦ	da¹ni²ga²	daa1nii2ga2
ᏙᎩᎭ	do¹gi²ha	doo1gii2ha
ᎡᏃᎵᎦ	e¹no²li¹ga	ee1noo2lii1ga
ᏙᏥᎦ	do¹ji²ga²	doo1jii2ga2
ᏚᏂᎭ	du¹ni²ha	duu1nii2ha
ᎡᏙᎵᎦ	e¹do²li¹ga	ee1doo2lii1ga
ᎠᎩᎭ	a¹gị²ha	aa1gi2ha
ᎡᏦᎵᎦ	e¹jo²li¹ga	ee1joo2lii1ga
ᎩᏂᎭ	gị²ni²ha	gi2nii2ha
ᎡᏦᎵᎦ	e¹johl²ga	ee1johl2ga
ᏕᏍᏗᎭ	de²sdi²ha	dee2sdii2ha
ᏕᏣᎭ	de²jạ²ha	dee2ja2ha
ᏕᏥᎩᎠ	de²jị²gị³ɂa	dee2ji2gi3-a
ᏩᎪᎵᎩ	wa¹go²li¹gi	waa1goo2lii1gi
ᏩᏓᎪᏩᏔ	wa¹da²go¹wah²ta	waa1daa2goo1wah2ta
ᏕᏂᎦ	de³ni²ga²	dee3nii2ga2
ᏕᏥᎭ	de³ji²ha	dee3jii2ha
ᏕᏗᎦ	de³di²ga²	dee3dii2ga2
ᎣᎩᏂᎭ	o¹gị²ni²ha	oo1gi2nii2ha
ᏕᎩᏂᎭ	de²gị²ni²ha	dee2gi2nii2ha
ᎤᏓᎪᎲᎢ	u¹da²go²hv²³ɂi	uu1daa2goo2hvv23-i
ᏙᎩᏂᎭ	do¹gị²ni²ha	doo1gi2nii2ha
ᏙᏍᏗᎦ	do¹sdi²ga²	doo1sdii2ga2
ᎨᎪᎵᎦ	ge²go²li¹ga²	gee2goo2lii1ga2
ᎬᏉᎵᏍᏗ	gv²gwo²hlị³sdi	gvv2gwoo2hli3sdi
ᎨᎪᎵᎦ	ge²gohl²ga	gee2gohl2ga
ᏮᏉᎵᎩ	wv¹gwohl²gi	wvv1gwohl2gi
ᎨᏃᎵᎦ	ge²nohl²ga	gee2nohl2ga
ᎨᏙᎵᎦ	ge²do²li¹ga	gee2doo2lii1ga
ᎨᏦᎵᎦ	ge²johl²ga	gee2johl2ga
ᎪᎪᎵᎦ	go²gohl²ga	goo2gohl2ga
ᎪᏦᎵᎦ	go²johl²ga	goo2johl2ga
ᎯᏲᎵᎦ	hi²yo²li¹ga	hii2yoo2lii1ga
ᎡᏍᏙᎵᎦ	e¹sdo²li¹ga	ee1sdoo2lii1ga
ᎦᏥᎪᎲᎢ	gạ²ji²go²hv²³ɂi	ga2jii2goo2hvv23-i
ᎦᏓᎪᏩᏔ	gạ²da²go¹wah²ta²	ga2daa2goo1wah2ta2
ᎨᏍᏙᎵᎦ	ge²sdohl²ga	gee2sdohl2ga
ᎪᏍᏙᎵᎦ	go²sdohl²ga	goo2sdohl2ga
ᏍᏛᏲᎵᎦ	sdv²yohl²ga	sdvv2yohl2ga
ᏫᎨᏦᎵᎩ	wị²ge²johl²gi	wi2gee2johl2gi
ᎢᏨᏲᎵᎦ	i¹jv²yohl²ga	ii1jvv2yohl2ga
ᏍᎩᏃᎵᎦ	sgị²no²li¹ga	sgi2noo2lii1ga
ᏣᏓᎪᎲᎢ	jạ²da²go²hv²³ɂi	ja2daa2goo2hvv23-i
ᎡᎩᏃᎵᎦ	e¹gị²no²li¹ga	ee1gi2noo2lii1ga
ᎢᏍᎩᏲᎵᎦ	i¹sgi²yohl²ga	ii1sgii2yohl2ga
ᎠᏆᏓᎪᎲᎢ	a¹gwạ²da²go²hv²³ɂi	aa1gwaa2daa2goo2hvv23-i
ᏩᎾᏓᎪᏩᏔ	wa¹nạ²da²go¹wah²ta	waa1naa2daa2goo1wah2ta
ᎦᎯᏲᎵᎦ	gạ²hi²yohl²ga	ga2hii2yohl2ga
ᎢᎦᏓᎪᎲᎢ	i¹gạ²da²go²hv²³ɂi	ii1ga2daa2goo2hvv23-i
ᎨᎩᏃᎵᎦ	ge²gị²nohl²ga	gee2gi2nohl2ga
ᎣᎦᏓᎪᎲᎢ	o¹gạ²da²go²hv²³ɂi	oo1ga2daa2goo2hvv23-i
ᎪᎩᏃᎵᎦ	go²gị²nohl²ga	goo2gi2nohl2ga
ᎭᏓᏙᎵᎦ	hạ²da²dohl²ga	haa2daa2dohl2ga
ᎤᎾᏓᎪᎲᎢ	u¹nạ²da²go²hv²³ɂi	uu1na2daa2goo2hvv23-i
ᏍᏓᏓᏙᎵᎦ	sdạ²da²dohl²ga	sdaa2daa2dohl2ga
ᏬᏣᏓᎪᏩᏔ	wo¹jạ²da²go¹wah²ta	woo1ja2daa2goo1wah2ta
ᎢᎾᏓᏙᎵᎦ	i¹nạ²da²dohl²ga	ii1na2daa2dohl2ga
ᎢᏓᏓᏙᎵᎦ	i¹dạ²da²dohl²ga	ii1da2daa2dohl2ga
ᏕᎦᏓᎪᎲᎢ	de³gạ²da²go²hv²³ɂi	dee3ga2daa2goo2hvv23-i
ᎢᏣᏓᏙᎵᎦ	i¹jạ²da²dohl²ga	ii1ja2daa2dohl2ga
ᏙᎦᏓᎪᎲᎢ	do¹gạ²da²go²hv²³ɂi	doo1ga2daa2goo2hvv23-i
ᏕᎾᏓᏙᎵᎦ	de³nạ²da²dohl²ga	dee3na2daa2dohl2ga
ᏚᎾᏓᎪᎲᎢ	du¹nạ²da²go²hv²³ɂi	duu1na2daa2goo2hvv23-i
ᎩᎾᏓᎪᎲᎢ	gị²nạ²da²go²hv²³ɂi	gi2na2daa2goo2hvv23-i
ᏕᏓᏓᏙᎵᎦ	de³dạ²da²dohl²ga	dee3da2daa2dohl2ga
ᏓᎾᏓᎪᏩᏔ	da¹nạ²da²go¹wah²ta²	daa1naa2daa2goo1wah2ta2
ᏕᏣᏓᏙᎵᎦ	de³jạ²da²dohl²ga	dee3ja2daa2dohl2ga
ᎣᎩᎾᏓᎪᎲᎢ	o¹gị²nạ²da²go²hv²³ɂi	oo1gi2na2daa2goo2hvv23-i
ᏕᎩᎾᏓᎪᎲᎢ	de²gị²nạ²da²go²hv²³ɂi	dee2gi2na2daa2goo2hvv23-i
ᏕᏍᏓᏓᏙᎵᎦ	de²sdạ²da²dohl²ga	dee2sdaa2daa2dohl2ga
ᏙᎩᎾᏓᎪᎲᎢ	do¹gị²nạ²da²go²hv²³ɂi	doo1gi2na2daa2goo2hvv23-i
ᏙᏣᏓᎪᏩᏔ	do¹jạ²da²go¹wah²ta²	doo1ja2daa2goo1wah2ta2
ᏬᏍᏓᏓᎪᏩᏔ	wo¹sdạ²da²go¹wah²ta	woo1sda2daa2goo1wah2ta
ᏙᏍᏓᏓᎪᏩᏔ	do¹sdạ²da²go¹wah²ta²	doo1sda2daa2goo1wah2ta2
ᎡᎾ	e¹na²	ee1na2
ᎬᏥ	gv²ji	gvv2ji
ᎭᏓ	hạ²da	ha2da
ᎤᎩᏍᏗ	u¹gi¹sdi	uu1gii1sdi
ᎬᎪᏩᏔ	gv²go¹wah²ta²	gvv2goo1wah2ta2
ᎦᏓ	gạ²da²	ga2da2
ᏚᎬᎢ	du²gv²³ɂi	duu2gvv23-i
ᏍᏉᎵᏍᏗ	sgwo²li³sdi	sgwoo2lii3sdi
ᎠᏋᏌ	a¹gwv²³sa	aa1gwvv23sa
ᏥᎪᏩᏔ	ji²go¹wah²ta²	jii2goo1wah2ta2
ᏣᎭ	jạ²ha	ja2ha
ᎢᎬᏌ	i¹gv⁴sa	ii1gvv4sa
ᎡᎪᎵᎩ	e¹go²li¹gi	ee1goo2lii1gi
ᎠᎪᎵᏍᏗ	a¹go²li³sdi	aa1goo2lii3sdi
ᎡᏃᎵᎩ	e¹no²li¹gi	ee1noo2lii1gi
ᎣᎬᏌ	o¹gv⁴sa	oo1gvv4sa
ᎡᏙᎵᎩ	e¹do²li¹gi	ee1doo2lii1gi
ᎤᏅᏌ	u¹nv⁴sa	uu1nvv4sa
ᏩᏁᎾ	wa¹ne¹na	waa1nee1na
ᎡᏦᎵᎩ	e¹jo²li¹gi	ee1joo2lii1gi
ᏍᏛᎪᎲᎢ	sdv²go²hv²³ɂi	sdvv2goo2hvv23-i
ᏬᏤᎾ	wo¹je¹na	woo1jee1na
ᎡᏦᎵᎩ	e¹johl²gi	ee1johl2gi
ᎩᏅᏌ	gị²nv⁴sa	gi2nvv4sa
ᏓᎩᎬᎢ	da¹gị²gv²³ɂi	daa1gi2gvv23-i
ᎣᎩᏅᏌ	o¹gị²nv⁴sa	oo1gi2nvv4sa
ᏕᎩᎰᎢ	de³gi²ho³ɂi	dee3gii2hoo3-i
ᏬᏍᏕᎾ	wo²sde¹na	woo2sdee1na
ᏙᎩᎰᎢ	do¹gi²ho³ɂi	doo1gii2hoo3-i
ᏗᏗᎦ	dị²di²ga	di2dii2ga
ᎨᏃᎵᎩ	ge²nohl²gi	gee2nohl2gi
ᏙᏥᎩᎠ	do¹ji²gị³ɂa	doo1jii2gi3-a
ᏚᏂᎰᎢ	du¹ni²ho³ɂi	duu1nii2hoo3-i
ᎨᏙᎵᎩ	ge²do²li¹gi	gee2doo2lii1gi
ᏕᎯᎦ	de²hị²ga²	dee2hi2ga2
ᏗᏂᎦ	dị³ni²ga	di3nii2ga
ᎨᏦᎵᎩ	ge²johl²gi	gee2johl2gi
ᎯᏲᎵᎩ	hi²yo²li¹gi	hii2yoo2lii1gi
ᏕᏍᏗᎦ	de²sdi²ga²	dee2sdii2ga2
ᏕᏣᎰᎢ	de²jạ²ho³ɂi	dee2ja2hoo3-i
ᎥᏉᎵᏍᏗ	v¹gwo²hlị³sdi	vv1gwoo2hli3sdi
ᎨᎪᎵᏍᏗ	ge²go²hlị³sdi	gee2goo2hli3sdi
ᏕᏥᎦ	de³ji²ga²	dee3jii2ga2
ᏕᎩᏂᎰᎢ	de²gị²ni²ho³ɂi	dee2gi2nii2hoo3-i
ᏫᏨᎪᏩᏔ	wi¹jv²go¹wah²ta	wii1jvv2goo1wah2ta
ᏫᏗᏥᎦ	wị²dị²jị²ga	wi2di2ji2ga
ᏙᎩᏂᎰᎢ	do¹gị²ni²ho³ɂi	doo1gi2nii2hoo3-i
ᏙᏍᏗᎩᎠ	do¹sdi²gị³ɂa	doo1sdii2gi3-a
ᎪᎪᎵᏍᏗ	go²go²hlị³sdi	goo2goo2hli3sdi
ᎪᏦᎵᏍᏗ	go²jo²hlị³sdi	goo2joo2hli3sdi
ᎨᎪᎵᎪᎢ	ge²go²li²go³ɂi	gee2goo2lii2goo3-i
ᎡᏍᏙᎵᎩ	e¹sdo²li¹gi	ee1sdoo2lii1gi
ᎨᏍᏙᎵᎩ	ge²sdohl²gi	gee2sdohl2gi
ᎬᏉᎵᎦ	gv²gwohl²ga²	gvv2gwohl2ga2
ᏍᎩᏃᎵᎩ	sgị²no²li¹gi	sgi2noo2lii1gi
ᏓᏃᎵᎦ	da¹nohl²ga	daa1nohl2ga
ᎪᏍᏙᎵᏍᏗ	go²sdo²hlị³sdi	goo2sdoo2hli3sdi
ᏕᎪᎵᎦ	de²gohl²ga	dee2gohl2ga
ᏩᏓᏙᎵᎩ	wa¹da²dohl²gi	waa1daa2dohl2gi
ᎤᏓᏙᎵᏍᏗ	u¹da²do²hlị³sdi	uu1daa2doo2hli3sdi
ᎡᎩᏃᎵᎩ	e¹gị²no²li¹gi	ee1gi2noo2lii1gi
ᎢᏍᎩᏲᎵᎩ	i¹sgi²yohl²gi	ii1sgii2yohl2gi
ᎦᎯᏲᎵᎩ	gạ²hi²yohl²gi	ga2hii2yohl2gi
ᎦᏥᎪᏩᏔ	gạ²ji²go¹wah²ta²	ga2jii2goo1wah2ta2
ᎨᏣᎪᎲᎢ	ge²jạ²go²hv²³ɂi	gee2ja2goo2hvv23-i
ᎭᏓᏙᎵᎩ	hạ²da²dohl²gi	haa2daa2dohl2gi
ᎨᎩᏃᎵᏍᏗ	ge²gị²no²hlị³sdi	gee2gi2noo2hli3sdi
ᎪᎩᏃᎵᏍᏗ	go²gị²no²hlị³sdi	goo2gi2noo2hli3sdi
ᏣᏓᏙᎵᏍᏗ	jạ²da²do²hlị³sdi	ja2daa2doo2hli3sdi
ᏗᏣᏙᎵᏍᏗ	dị²jạ²da²do²hlị³sdi	di2ja2daa2doo2hli3sdi
ᏍᏓᏓᏙᎵᎩ	sdạ²da²dohl²gi	sdaa2daa2dohl2gi
ᎠᏆᏓᏙᎵᏍᏗ	a¹gwạ²da²do²hlị³sdi	aa1gwaa2daa2doo2hli3sdi
ᎢᎦᏓᏙᎵᏍᏗ	i¹gạ²da²do²hlị³sdi	ii1ga2daa2doo2hli3sdi
ᎦᏓᏙᎵᎦ	gạ²da²dohl²ga²	ga2daa2dohl2ga2
ᎣᎦᏓᏙᎵᏍᏗ	o¹gạ²da²do²hlị³sdi	oo1ga2daa2doo2hli3sdi
ᎤᎾᏓᏙᎵᏍᏗ	u¹nạ²da²do²hlị³sdi	uu1na2daa2doo2hli3sdi
ᏗᏍᏓᏙᎵᏍᏗ	dị²sdạ²da²do²hlị³sdi	di2sdaa2daa2doo2hli3sdi
ᎩᎾᏓᏙᎵᏍᏗ	gị²nạ²da²do²hlị³sdi	gi2na2daa2doo2hli3sdi
ᏕᎦᏓᏚᎳ	de³gạ²dạ²du²³la²	dee3ga2da2duu23la2
ᎣᎩᎾᏓᏙᎵᏍᏗ	o¹gị²nạ²da²do²hlị³sdi	oo1gi2na2daa2doo2hli3sdi
ᏙᎦᏓᏚᎳ	do¹gạ²dạ²du²³la²	doo1ga2da2duu23la2
ᎢᎾᏓᏙᎵᎩ	i¹nạ²da²dohl²gi	ii1na2daa2dohl2gi
ᏚᎾᏓᏚᎳ	du¹nạ²dạ²du²³la²	duu1na2da2duu23la2
ᎢᏓᏓᏙᎵᎩ	i¹dạ²da²dohl²gi	ii1da2daa2dohl2gi
ᎢᏣᏓᏙᎵᎩ	i¹jạ²da²dohl²gi	ii1ja2daa2dohl2gi
ᏓᎾᏓᏙᎵᎦ	da¹nạ²da²dohl²ga²	daa1naa2daa2dohl2ga2
ᏩᎾᏓᏙᎵᎩ	wa¹nạ²da²dohl²gi	waa1naa2daa2dohl2gi
ᏕᎩᎾᏓᏚᎳ	de²gị²nạ²dạ²du²³la²	dee2gi2na2da2duu23la2
ᏬᏣᏓᏙᎵᎩ	wo¹jạ²da²dohl²gi	woo1ja2daa2dohl2gi
ᏕᎾᏓᎪᏩᏔ	de³nạ²da²go¹wah²ta²	dee3na2daa2goo1wah2ta2
ᏙᎩᎾᏓᏚᎳ	do¹gị²nạ²dạ²du²³la²	doo1gi2na2da2duu23la2
ᏙᏣᏓᏙᎵᎦ	do¹jạ²da²dohl²ga²	doo1ja2daa2dohl2ga2
ᏕᏓᏓᎪᏩᏔ	de³dạ²da²go¹wah²ta²	dee3da2daa2goo1wah2ta2
ᏙᏍᏓᏓᏙᎵᎦ	do¹sdạ²da²dohl²ga²	doo1sda2daa2dohl2ga2
ᏬᏍᏓᏓᏙᎵᎩ	wo¹sdạ²da²dohl²gi	woo1sda2daa2dohl2gi
ᎯᏥ	hi²ji	hii2ji
ᏨᏌ	jv²³sa	jvv23sa
ᎤᎬᎢ	u¹gv²³ɂi	uu1gvv23-i
ᎪᎵᎦ	go²li¹ga	goo2lii1ga
ᏍᏗᎦ	sdi²ga	sdii2ga
ᏚᎮᏍᏗ	du²he³sdi	duu2hee3sdi
ᎮᎾ	he¹na²	hee1na2
ᎯᎪᎲᎢ	hi²go²hv²³ɂi	hii2goo2hvv23-i
ᏩᎦ	wạ²ga	wa2ga
ᎢᎬᏌ	i¹gv²³sa	ii1gvv23sa
ᏘᎪᏩᏔ	tị²go¹wah²ta	ti2goo1wah2ta
ᎢᏂᎦ	i¹ni²ga	ii1nii2ga
ᏍᏉᎵᎦ	sgwo²li¹ga²	sgwoo2lii1ga2
ᎢᏗᎦ	i¹di²ga	ii1dii2ga
ᎣᎬᏌ	o¹gv²³sa	oo1gvv23sa
ᎡᎪᎵᏍᏗ	e¹go²li³sdi	ee1goo2lii3sdi
ᎢᏥᎦ	i¹ji²ga	ii1jii2ga
ᎤᏅᏌ	u¹nv²³sa	uu1nvv23sa
ᎠᎪᎵᎦ	a¹go²li¹ga²	aa1goo2lii1ga2
ᎡᏃᎵᏍᏗ	e¹no²li³sdi	ee1noo2lii3sdi
ᏍᏛᎪᏩᏔ	sdv²go¹wah²ta²	sdvv2goo1wah2ta2
ᏩᏂᎦ	wa¹ni²ga	waa1nii2ga
ᎡᏙᎵᏍᏗ	e¹do²li³sdi	ee1doo2lii3sdi
ᎩᏅᏌ	gị²nv²³sa	gi2nvv23sa
ᏬᏥᎦ	wo¹ji²ga	woo1jii2ga
ᎠᏉᎵᎦ	a¹gwohl²ga	aa1gwohl2ga
ᎡᏦᎵᏍᏗ	e¹jo²li³sdi	ee1joo2lii3sdi
ᏓᎩᎮᏍᏗ	da¹gị²he³sdi	daa1gi2hee3sdi
ᎣᎩᏅᏌ	o¹gị²nv²³sa	oo1gi2nvv23sa
ᏕᎩᎬᎢ	de³gi²gv²³ɂi	dee3gii2gvv23-i
ᏬᏍᏗᎦ	wo²sdi²ga	woo2sdii2ga
ᏓᏂᎩᎠ	da¹ni²gị³ɂa	daa1nii2gi3-a
ᏗᏍᏗᎦ	dị²sdi²ga	di2sdii2ga
ᏙᎩᎬᎢ	do¹gi²gv²³ɂi	doo1gii2gvv23-i
ᏚᏂᎬᎢ	du¹ni²gv²³ɂi	duu1nii2gvv23-i
ᎠᏓᎪᏩᏔ	a¹da²go¹wah²ta²	aa1daa2goo1wah2ta2
ᏗᏥᎦ	dị²ji²ga	di2jii2ga
ᎡᏦᎵᎦ	e¹johl²ga²	ee1johl2ga2
ᏫᏗᎦ	wị²dị²ga	wi2di2ga
ᏕᏣᎬᎢ	de²jạ²gv²³ɂi	dee2ja2gvv23-i
ᏕᏥᎩᏍᎪᎢ	de²jị²gi³sgo³ɂi	dee2ji2gii3sgoo3-i
ᎤᏓᏚᎳ	u¹dạ²du²³la²	uu1da2duu23la2
ᏕᏂᎩᎠ	de³ni²gị³ɂa	dee3nii2gi3-a
ᏫᏦᏥᎦ	wị²jo¹ji²ga	wi2joo1jii2ga
ᏕᏗᎩᎠ	de³di²gị³ɂa	dee3dii2gi3-a
ᎨᎪᎵᏨᎢ	ge²go²li²jv²³ɂi	gee2goo2lii2jvv23-i
ᎨᏃᎵᏍᏗ	ge²no²hlị³sdi	gee2noo2hli3sdi
ᎨᏙᎵᏍᏗ	ge²do²li³sdi	gee2doo2lii3sdi
ᏕᎩᏂᎬᎢ	de²gị²ni²gv²³ɂi	dee2gi2nii2gvv23-i
ᏫᏦᏍᏗᎦ	wị²jo¹sdi²ga	wi2joo1sdii2ga
ᎨᏦᎵᏍᏗ	ge²jo²hlị³sdi	gee2joo2hli3sdi
ᏙᎩᏂᎬᎢ	do¹gị²ni²gv²³ɂi	doo1gi2nii2gvv23-i
ᎥᏉᎵᎦ	v¹gwohl²ga²	vv1gwohl2ga2
ᎨᎪᎵᎦ	ge²gohl²ga²	gee2gohl2ga2
ᎬᏲᎵᏍᏗ	gv²yo²li³sdi	gvv2yoo2lii3sdi
ᏥᏲᎵᏍᏗ	ji²yo²li³sdi	jii2yoo2lii3sdi
ᎪᎪᎵᎦ	go²gohl²ga²	goo2gohl2ga2
ᎪᏦᎵᎦ	go²johl²ga²	goo2johl2ga2
ᎡᏍᏙᎵᏍᏗ	e¹sdo²li³sdi	ee1sdoo2lii3sdi
ᎬᏉᎵᎪᎢ	gv²gwohl²go³ɂi	gvv2gwohl2goo3-i
ᎨᏍᏙᎵᏍᏗ	ge²sdo²hlị³sdi	gee2sdoo2hli3sdi
ᎢᏍᎩᎪᎲᎢ	i¹sgi²go²hv²³ɂi	ii1sgii2goo2hvv23-i
ᏍᏓᏓᏚᎳ	sdạ²dạ²du²³la	sdaa2da2duu23la
ᏫᏨᏲᎵᎩ	wi¹jv²yo²li¹gi	wii1jvv2yoo2lii1gi
ᎦᎯᎪᎲᎢ	gạ²hi²go²hv²³ɂi	ga2hii2goo2hvv23-i
ᎡᎩᏃᎵᏍᏗ	e¹gị²no²li³sdi	ee1gi2noo2lii3sdi
ᎢᏣᏓᏚᎳ	i¹jạ²dạ²du²³la	ii1ja2da2duu23la
ᎪᏍᏙᎵᎦ	go²sdohl²ga²	goo2sdohl2ga2
ᏣᏓᏚᎳ	jạ²dạ²du²³la²	ja2da2duu23la2
ᎦᏥᏲᎵᏍᏗ	gạ²ji²yo²hlị³sdi	ga2jii2yoo2hli3sdi
ᎨᏣᎪᏩᏔ	ge²jạ²go¹wah²ta²	gee2ja2goo1wah2ta2
ᎠᏆᏓᏚᎳ	a¹gwạ²dạ²du²³la²	aa1gwaa2da2duu23la2
ᎢᎦᏓᏚᎳ	i¹gạ²dạ²du²³la²	ii1ga2da2duu23la2
ᎭᏓᎪᏩᏔ	hạ²da²go¹wah²ta²	haa2daa2goo1wah2ta2
ᏍᎩᏃᎵᎦ	sgi²̣nohl²ga	sgii2nohl2ga
ᎣᎦᏓᏚᎳ	o¹gạ²dạ²du²³la²	oo1ga2da2duu23la2
ᎤᎾᏓᏚᎳ	u¹nạ²dạ²du²³la²	uu1na2da2duu23la2
ᎦᏓᏙᎵᎪᎢ	gạ²da²dohl²go³ɂi	ga2daa2dohl2goo3-i
