ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᏗᏣᏰᏍᏗ|dijahyè:sdi|dị²jạ²hye¹sdi|For you (1) to eat flexible things|di2ja2hyee1sdi
ᏗᏂᏍᏗᎦ|díni:sdǐ:ga|dị³ni²sdi²³ga|Let you (1) and me eat rod shaped things|di3nii2sdii23ga
ᏕᎦᏟᏌ|de:gàhlǐ:sā|de²gạ¹hli²³sa²|He recently gathered things|dee2ga1hlii23sa2
ᏗᏍᏓᏓᎪᏩᏛᏗ|disdada:gowhtv́hdi|dị²sdạ²da²gowh²tvh³di|For you both to see each other|di2sdaa2daa2gowh2tvh3di
ᏍᏛᏌ|sdv̌:sa|sdv²³sa|Your two selves|sdvv23sa
ᏕᏥᎲᎢ|dé:ji:hv̌:ɂi|de³ji²hv²³ɂi|You all had solid things a while ago|dee3jii2hvv23-i
ᏗᏥᏰᏍᏗ|diji:hyè:sdi|dị²ji²hye¹sdi|For you all to eat flexible things|di2jii2hyee1sdi
ᏕᎩᏅᏲᎢ|de:ginù:wǎ:yóɂi|de²gị²nu¹wa²³yọ³ɂi|You (1) and I usually have rod shaped things|dee2gi2nuu1waa23yo3-i
ᏫᏗᏥᏍᏗᎦ|widijisdǐ:ga|wị²dị²jị²sdi²³ga|Let me eat rod shaped things|wi2di2ji2sdii23ga
ᎦᏥᏲᎵᎪᎢ|gaji:yo:li:gó:ɂi|gạ²ji²yo²li²go³ɂi|I usually recognize them (animate)|ga2jii2yoo2lii2goo3-i
ᎢᏨᏌ|ì:jv̌:sa|i¹jv²³sa|Your all selves|ii1jvv23sa
ᏕᏍᏗᎲᎢ|de:sdi:hv̌:ɂi|de²sdi²hv²³ɂi|You both had solid things a while ago|dee2sdii2hvv23-i
ᏙᎩᏅᏲᎢ|dò:ginù:wǎ:yóɂi|do¹gị²nu¹wa²³yọ³ɂi|He and I usually have rod shaped things|doo1gi2nuu1waa23yo3-i
ᏕᎩᎾᏓᎧᎭ|de:ginada:káha|de²gị²nạ²da²kạ³ha|You (1) and I have each other|dee2gi2na2daa2ka3ha
ᎢᎩᎰᎢ|ì:gi:hó:ɂi|i¹gi²ho³ɂi|All of us usually have something solid|ii1gii2hoo3-i
ᎣᎩᎰᎢ|ò:gi:hó:ɂi|o¹gi²ho³ɂi|They and I usually have something solid|oo1gii2hoo3-i
ᎤᏂᎰᎢ|ù:ni:hó:ɂi|u¹ni²ho³ɂi|They usually have something solid|uu1nii2hoo3-i
ᎩᏂᎰᎢ|gini:hó:ɂi|gị²ni²ho³ɂi|You (1) and I usually have something solid|gi2nii2hoo3-i
ᏓᎩᎰᎢ|dà:gihó:ɂi|da¹gị²ho³ɂi|I usually have solid things|daa1gi2hoo3-i
ᏕᏣᎰᎢ|de:jahó:ɂi|de²jạ²ho³ɂi|You (1) usually have solid things|dee2ja2hoo3-i
ᎣᎩᏂᎰᎢ|ò:gini:hó:ɂi|o¹gị²ni²ho³ɂi|He and I usually have something solid|oo1gi2nii2hoo3-i
ᏗᏣᏓᏙᎵᎩ|dijada:dohlgi|dị²jạ²da²dohl²gi|Let you all be acquainted|di2ja2daa2dohl2gi
ᏍᎩᏃᎵᎩ|sgino:lì:gi|sgị²no²li¹gi|Let you (1) or both recognize us both|sgi2noo2lii1gi
ᏕᎰᎵᎦ|de:hohlgā|de²hohl²ga²|You (1) recently understood things|dee2hohl2ga2
ᏫᏗᎾᏓᏙᎵᎩ|widinada:dohlgi|wị²dị²nạda²dohl²gi|Let them be acquainted|wi2di2nadaa2dohl2gi
ᎡᎦᏚᎳ|è:gadǔ:la|e¹gạ²du²³la|Let all of us be wanted|ee1ga2duu23la
ᎡᎾᏚᎳ|è:nadǔ:la|e¹nạ²du²³la|Let you (1) and me want him|ee1na2duu23la
ᎡᏓᏚᎳ|è:dadǔ:la|e¹dạ²du²³la|Let all of us want him|ee1da2duu23la
ᎡᏣᏚᎳ|è:jadǔ:la|e¹jạ²du²³la|Let you all want him; Let you (1) be wanted; Let you all be wanted|ee1ja2duu23la
ᏗᎪᎵᏍᏗ|digo:hlísdi|dị²go²hlị³sdi|For all of us to understand things|di2goo2hli3sdi
ᏗᎩᏃᎵᏍᏗ|digino:hlísdi|dị²gị²no²hlị³sdi|For you (1) and me to understand things|di2gi2noo2hli3sdi
ᎡᏍᏓᏚᎳ|è:sdadǔ:la|e¹sdạ²du²³la|Let you both want him; Let you both be wanted|ee1sda2duu23la
ᎨᎾᏚᎳ|ge:nadǔ:lā|ge²nạ²du²³la²|You (1) and I recently wanted them (animate)|gee2na2duu23la2
ᎦᎯᎪᏩᏔ|gahi:gò:wahta|gạ²hi²go¹wah²ta|Let you (1) see them (animate)|ga2hii2goo1wah2ta
ᎡᎩᎾᏚᎳ|è:ginadǔ:la|e¹gị²nạ²du²³la|Let you (1) and me be wanted|ee1gi2na2duu23la
ᎨᏓᏚᎳ|ge:dadǔ:lā|ge²dạ²du²³la²|All of us recently wanted them (animate)|gee2da2duu23la2
ᎨᏣᏚᎳ|ge:jadǔ:lā|ge²jạ²du²³la²|You all recently wanted them (animate); They recently wanted you (1)|gee2ja2duu23la2
ᎨᏍᏓᏚᎳ|ge:sdadǔ:lā|ge²sdạ²du²³la²|You both recently wanted them (animate); They recently wanted you both|gee2sda2duu23la2
ᏚᎪᎲᎢ|du:go:hv̌:ɂi|du²go²hv²³ɂi|He saw them a while ago|duu2goo2hvv23-i
ᎨᏥᎪᏩᏔ|gé:ji:gò:wahtā|ge³ji²go¹wah²ta²|They recently saw you all|gee3jii2goo1wah2ta2
ᎪᏥᎪᏩᏔ|go:ji:gò:wahtā|go²ji²go¹wah²ta²|They and I recently saw them (animate)|goo2jii2goo1wah2ta2
ᎬᎩᎪᎲᎢ|gv:gigo:hv̌:ɂi|gv²gị²go²hv²³ɂi|They saw me a while ago|gvv2gi2goo2hvv23-i
ᎪᏍᏗᎪᏩᏔ|go:sdi:gò:wahtā|go²sdi²go¹wah²ta²|He and I recently saw them (animate)|goo2sdii2goo1wah2ta2
ᎠᏴ|ayv|ạ²yv|I, Me; We, Us|a2yv
ᏚᎮᏍᏗ|du:hé:sdi|du²he³sdi|He will be having solid things|duu2hee3sdi
ᎠᏗᎭ|adiha|ạ²dị²ha|He is saying|a2di2ha
ᏫᏗᏥᏯᎦ|widijiyaga|wị²dị²jị²yạ²ga|Let me eat flexible things|wi2di2ji2ya2ga
ᎦᏗᎠ|gadí:ɂa|gạ²di³ɂa|I am saying|ga2dii3-a
ᎤᏲᏏᏌ|ù:yò:sǐ:sā|u¹yo¹si²³sa²|He was recently hungry|uu1yoo1sii23sa2
ᎤᏓᎧᎰᎢ|ù:da:kahó:ɂi|u¹da²kạ²ho³ɂi|He usually has himself|uu1daa2ka2hoo3-i
ᏫᏦᏥᏚᎲᎦ|wijò:jì:du:hv̀:ga|wị²jo¹ji¹du²hv¹ga|Let them and me bake things|wi2joo1jii1duu2hvv1ga
ᏓᎾᏓᎪᏩᏘᎭ|dà:nada:gowhtíha|da¹nạ²da²gowh²tị³ha|They are seeing each other|daa1naa2daa2gowh2ti3ha
ᏧᏍᏗᎩᏍᏗ|ju:sdǐ:gî:sdi|ju²sdi²³gi³²sdi|For him to eat rod shaped things|juu2sdii23gii32sdi
ᏦᎦᏚᎩᏍᏗ|jò:gatǔ:gî:sdi|jo¹gạ²tu²³gi³²sdi|For them and me to drink alcoholic drinks|joo1ga2tuu23gii32sdi
ᎦᏓᎦᏙᏍᏓ|gadagà:tǒ:sdā|gạ²dạ²ga¹to²³sda²|I recently looked at myself|ga2da2gaa1too23sda2
ᎭᏗᎭ|hadiha|hạ²dị²ha|You (1) are saying|ha2di2ha
ᏣᏓᎧᎰᎢ|jada:kahó:ɂi|jạ²da²kạ²ho³ɂi|You (1) usually have yourself|ja2daa2ka2hoo3-i
ᏫᏗᏂᏚᎲᎦ|widinì:du:hv̀:ga|wị²dị²ni¹du²hv¹ga|Let them bake things|wi2di2nii1duu2hvv1ga
ᏕᎾᏓᎪᏩᏘᎭ|dé:nada:gowhtíha|de³nạ²da²gowh²tị³ha|You (1) and I are seeing each other|dee3na2daa2gowh2ti3ha
ᏧᎾᏚᎩᏍᏗ|jù:natǔ:gî:sdi|ju¹nạ²tu²³gi³²sdi|For them to drink alcoholic drinks|juu1na2tuu23gii32sdi
ᎬᏲᎵᏍᏗ|gv:yo:lí:sdi|gv²yo²li³sdi|For me to recognize you (1)|gvv2yoo2lii3sdi
ᏫᏦᏍᏗᏚᎲᎦ|wijò:sdì:du:hv̀:ga|wị²jo¹sdi¹du²hv¹ga|Let him and me bake things|wi2joo1sdii1duu2hvv1ga
ᎠᏆᏓᎧᎰᎢ|à:gwada:kahó:ɂi|a¹gwạ²da²kạ²ho³ɂi|I usually have myself|aa1gwaa2daa2ka2hoo3-i
ᏕᏓᏓᎪᏩᏘᎭ|dé:dada:gowhtíha|de³dạ²da²gowh²tị³ha|All of us are seeing each other|dee3da2daa2gowh2ti3ha
ᏥᏲᎵᏍᏗ|ji:yo:lí:sdi|ji²yo²li³sdi|For me to recognize him|jii2yoo2lii3sdi
ᏙᏣᏓᎪᏩᏘᎭ|dò:jada:gowhtíha|do¹jạ²da²gowh²tị³ha|They and I are seeing each other|doo1ja2daa2gowh2ti3ha
ᏗᏆᏚᎩᏍᏗ|dìgwatǔ:gî:sdi|dị¹gwạ²tu²³gi³²sdi|For me to drink alcoholic drinks|di1gwa2tuu23gii32sdi
ᏘᏯᎦ|tihyaga|tị²hyạ²ga|Let you (1) eat flexible things|ti2hya2ga
ᏙᏍᏗᏯᎦ|dò:sdi:hyagā|do¹sdi²hyạ²ga²|He and I recently ate flexible things|doo1sdii2hya2ga2
ᏍᏛᏲᎵᏍᏗ|sdv:yo:lí:sdi|sdv²yo²li³sdi|For me to recognize you both; For we two to recognize you (1) or you both|sdvv2yoo2lii3sdi
ᏙᏍᏓᏓᎪᏩᏘᎭ|dò:sdada:gowhtíha|do¹sdạ²da²gowh²tị³ha|He and I are seeing each other|doo1sda2daa2gowh2ti3ha
ᏗᎩᏟᏐᏗ|digì:hlǐ:sóhdi|dị²gi¹hli²³soh³di|For all of us to gather things|di2gii1hlii23soh3di
ᏫᏗᎾᏓᎦᏙᏍᏓ|widinadaktǒ:sda|wị²dị²nạdạ²kto²³sda|Let them look at each other|wi2di2nada2ktoo23sda
ᏦᎩᎾᏚᎩᏍᏗ|jò:ginatǔ:gî:sdi|jo¹gị²nạ²tu²³gi³²sdi|For him and me to drink alcoholic drinks|joo1gi2na2tuu23gii32sdi
ᏗᎦᏓᎦᏙᏍᏙᏗ|digadaktǒ:sdóhdi|dị²gạ²dạ²kto²³sdoh³di|For all of us to look at each other|di2ga2da2ktoo23sdoh3di
ᏙᎬᏴᎢ|dò:gù:wǎ:yv́:ɂi|do¹gu¹wa²³yv³ɂi|They and I had rod shaped things a while ago|doo1guu1waa23yvv3-i
ᏗᏗᏯᎦ|didi:hyaga|dị²di²hyạ²ga|Let all of us eat flexible things|di2dii2hya2ga
ᎦᏥᏲᎵᏍᏗ|gaji:yo:lí:sdi|gạ²ji²yo²li³sdi|For me to recognize them (animate)|ga2jii2yoo2lii3sdi
ᏗᏍᏓᏓᏚᎸᏗ|disdadaduhldi|dị²sdạ²dạ²duhl²di|For you both to want each other|di2sdaa2da2duhl2di
ᏗᎩᏂᏟᏐᏗ|diginì:hlǐ:sóhdi|dị²gị²ni¹hli²³soh³di|For you (1) and me to gather things|di2gi2nii1hlii23soh3di
ᏗᏂᏯᎦ|díni:hyaga|dị³ni²hyạ²ga|Let you (1) and me eat flexible things|di3nii2hya2ga
ᎠᏓᏙᎵᎪᎢ|à:da:dohlgó:ɂi|a¹da²dohl²go³ɂi|He usually recognizes himself|aa1daa2dohl2goo3-i
ᏗᏣᏓᎪᏩᏛᏗ|dijada:gowhtv́hdi|dị²jạ²da²gowh²tvh³di|For you all to see each other|di2ja2daa2gowh2tvh3di
ᏗᏍᏗᏰᏍᏗ|disdi:hyè:sdi|dị²sdi²hye¹sdi|For you both to eat flexible things|di2sdii2hyee1sdi
ᎭᏓᏙᎵᎪᎢ|hada:dohlgó:ɂi|hạ²da²dohl²go³ɂi|You (1) usually recognize yourself|haa2daa2dohl2goo3-i
ᎢᎩᎲᎢ|ì:gi:hv̌:ɂi|i¹gi²hv²³ɂi|All of us had something solid a while ago|ii1gii2hvv23-i
ᎡᏣᎧᎭ|è:jakáha|e¹jạ²kạ³ha|Someone has you (1)|ee1ja2ka3ha
ᏫᏗᎦᏟᏌ|widigàhlǐ:sa|wị²dị²gạ¹hli²³sa|Let him gather things|wi2di2ga1hlii23sa
ᎠᎾᏓᏙᎵᎪᎢ|à:nada:dohlgó:ɂi|a¹nạ²da²dohl²go³ɂi|They usually recognize themselves|aa1naa2daa2dohl2goo3-i
ᎣᎩᎲᎢ|ò:gi:hv̌:ɂi|o¹gi²hv²³ɂi|They and I had something solid a while ago|oo1gii2hvv23-i
ᎢᎾᏓᏙᎵᎪᎢ|ì:nada:dohlgó:ɂi|i¹nạ²da²dohl²go³ɂi|You (1) and I usually recognize ourselves|ii1na2daa2dohl2goo3-i
ᎤᏂᎲᎢ|ù:ni:hv̌:ɂi|u¹ni²hv²³ɂi|They had something solid a while ago|uu1nii2hvv23-i
ᎢᏓᏓᏙᎵᎪᎢ|ì:dada:dohlgó:ɂi|i¹dạ²da²dohl²go³ɂi|All of us usually recognize ourselves|ii1da2daa2dohl2goo3-i
ᎩᏂᎲᎢ|gini:hv̌:ɂi|gị²ni²hv²³ɂi|You (1) and I had something solid a while ago|gi2nii2hvv23-i
ᏕᏥᏟᏌ|de:jìhlǐ:sā|de²jị¹hli²³sa²|I recently gathered things|dee2ji1hlii23sa2
ᎣᏣᏓᏙᎵᎪᎢ|ò:jada:dohlgó:ɂi|o¹jạ²da²dohl²go³ɂi|They and I usually recognize ourselves|oo1ja2daa2dohl2goo3-i
ᏓᎩᎲᎢ|dà:gihv̌:ɂi|da¹gị²hv²³ɂi|I had solid things a while ago|daa1gi2hvv23-i
ᏕᏣᏓᏙᎵᎪᎢ|dé:jada:dohlgó:ɂi|de³jạ²da²dohl²go³ɂi|You all usually are acquainted|dee3ja2daa2dohl2goo3-i
ᏕᏣᎲᎢ|de:jahv̌:ɂi|de²jạ²hv²³ɂi|You (1) had solid things a while ago|dee2ja2hvv23-i
ᎣᏍᏓᏓᏙᎵᎪᎢ|ò:sdada:dohlgó:ɂi|o¹sdạ²da²dohl²go³ɂi|He and I usually recognize ourselves|oo1sda2daa2dohl2goo3-i
ᎣᎩᏂᎲᎢ|ò:gini:hv̌:ɂi|o¹gị²ni²hv²³ɂi|He and I had something solid a while ago|oo1gi2nii2hvv23-i
ᏕᏍᏓᏓᏙᎵᎪᎢ|de:sdada:dohlgó:ɂi|de²sdạ²da²dohl²go³ɂi|You both usually are acquainted|dee2sdaa2daa2dohl2goo3-i
ᏍᎩᏃᎵᎩ|sgino:lì:gi|sgị²no²li¹gi|Let you both recognize me|sgii2noo2lii1gi
ᏕᎪᎵᎦ|de:gohlga|de²gohl²ga|He understands things; He recognizes them (animate)|dee2gohl2ga
ᏍᏓᏓᏙᎵᏍᏗ|sdada:do:hlísdi|sdạ²da²do²hlị³sdi|For you both to recognize yourselves|sdaa2daa2doo2hli3sdi
ᎢᎦᏓᏙᎵᏍᏗ|ì:gada:do:hlísdi|i¹gạ²da²do²hlị³sdi|For all of us to recognize ourselves|ii1ga2daa2doo2hli3sdi
ᎣᎦᏓᏙᎵᏍᏗ|ò:gada:do:hlísdi|o¹gạ²da²do²hlị³sdi|For them and me to recognize ourselves|oo1ga2daa2doo2hli3sdi
ᏗᏥᎪᏩᏔ|diji:gò:wahta|dị²ji²go¹wah²ta|Let you all see them (inanimate)|di2jii2goo1wah2ta
ᎤᎾᏓᏙᎵᏍᏗ|ù:nada:do:hlísdi|u¹nạ²da²do²hlị³sdi|For them to recognize themselves|uu1na2daa2doo2hli3sdi
ᎣᎩᎾᏓᏙᎵᏍᏗ|ò:ginada:do:hlísdi|o¹gị²nạ²da²do²hlị³sdi|For him and me to recognize ourselves|oo1gi2na2daa2doo2hli3sdi
ᎡᎦᏚᎳ|è:gadǔ:lā|e¹gạ²du²³la²|All of us were recently wanted|ee1ga2duu23la2
ᎨᏂᎪᎲᎢ|ge:ni:go:hv̌:ɂi|ge²ni²go²hv²³ɂi|You (1) and I saw them (animate) a while ago|gee2nii2goo2hvv23-i
ᎡᏍᏓᏚᎳ|è:sdadǔ:lā|e¹sdạ²du²³la²|You both recently wanted him; You both were recently wanted|ee1sda2duu23la2
ᎨᏗᎪᎲᎢ|ge:di:go:hv̌:ɂi|ge²di²go²hv²³ɂi|All of us saw them (animate) a while ago|gee2dii2goo2hvv23-i
ᎡᎩᎾᏚᎳ|è:ginadǔ:lā|e¹gị²nạ²du²³la²|You (1) and I were recently wanted|ee1gi2na2duu23la2
ᎨᏥᎪᎲᎢ|ge:ji:go:hv̌:ɂi|ge²ji²go²hv²³ɂi|You all saw them (animate) a while ago; They were seen a while ago|gee2jii2goo2hvv23-i
ᎨᏍᏗᎪᎲᎢ|ge:sdi:go:hv̌:ɂi|ge²sdi²go²hv²³ɂi|You both saw them (animate) a while ago; They saw you both a while ago|gee2sdii2goo2hvv23-i
ᎬᎩᎪᏩᏔ|gv:gigò:wahtā|gv²gị²go¹wah²ta²|They recently saw me|gvv2gi2goo1wah2ta2
ᎠᏂᎴᎦ|à:ní:lè:ga|a¹ni³le¹ga|They are climbing it|aa1nii3lee1ga
ᏚᎾᎠ|du:náɂa|du²nạ³ɂa|He has flexible things|duu2na3-a
ᎡᏙᏓ|e:do:da|e²do²da|Father|ee2doo2da
ᏧᏗᏔᏍᏗ|ju:di:tasdi|ju²di²tạ²sdi|For him to drink drinks|juu2dii2ta2sdi
ᏓᎾᏓᎦᏙᏍᏓ|dà:nadaktǒ:sdā|da¹nạ²dạ²kto²³sda²|They recently looked at each other|daa1naa2da2ktoo23sda2
ᎣᏥᎴᎦ|ò:jí:lè:ga|o¹ji³le¹ga|They and I are climbing it|oo1jii3lee1ga
ᎦᏚᎦ|gaɂdǔ:gā|gạɂ²du²³ga²|I recently drank something alcoholic|ga-2duu23ga2
ᏕᎾᏓᎦᏙᏍᏓ|dé:nadaktǒ:sdā|de³nạ²dạ²kto²³sda²|You (1) and I recently looked at each other|dee3na2da2ktoo23sda2
ᎣᏍᏗᎴᎦ|ò:sdí:lè:ga|o¹sdi³le¹ga|He and I are climbing it|oo1sdii3lee1ga
ᎬᏲᎵᏨᎢ|gv:yo:li:jv̌:ɂi|gv²yo²li²jv²³ɂi|I recognized you (1) a while ago|gvv2yoo2lii2jvv23-i
ᏕᎦᎦᏙᏍᏗ|de:gagà:tǒ:sdi|de²gạ²ga¹to²³sdi|I am looking at them (inanimate)|dee2ga2gaa1too23sdi
ᏕᏓᏓᎦᏙᏍᏓ|dé:dadaktǒ:sdā|de³dạ²dạ²kto²³sda²|All of us recently looked at each other|dee3da2da2ktoo23sda2
ᏘᏚᎲᎦ|tìdu:hv̀:ga|tị¹du²hv¹ga|Let you (1) bake things|ti1duu2hvv1ga
ᏕᎦᏓᎧᎰᎢ|dé:gada:kahó:ɂi|de³gạ²da²kạ²ho³ɂi|All of us usually have each other|dee3ga2daa2ka2hoo3-i
ᏥᏲᎵᏨᎢ|ji:yo:li:jv̌:ɂi|ji²yo²li²jv²³ɂi|I recognized him a while ago|jii2yoo2lii2jvv23-i
ᏙᏣᏓᎦᏙᏍᏓ|dò:jadaktǒ:sdā|do¹jạ²dạ²kto²³sda²|They and I recently looked at each other|doo1ja2da2ktoo23sda2
ᏙᎦᏓᎧᎰᎢ|dò:gada:kahó:ɂi|do¹gạ²da²kạ²ho³ɂi|They and I usually have each other|doo1ga2daa2ka2hoo3-i
ᏍᏛᏲᎵᏨᎢ|sdv:yo:li:jv̌:ɂi|sdv²yo²li²jv²³ɂi|I recognized you both a while ago; We two recognized you (1) or you both a while ago|sdvv2yoo2lii2jvv23-i
ᏙᏍᏓᏓᎦᏙᏍᏓ|dò:sdadaktǒ:sdā|do¹sdạ²dạ²kto²³sda²|He and I recently looked at each other|doo1sda2da2ktoo23sda2
ᏚᎾᏓᎧᎰᎢ|dù:nada:kahó:ɂi|du¹nạ²da²kạ²ho³ɂi|They usually have each other|duu1na2daa2ka2hoo3-i
ᏣᎦᏙᏍᏗ|jà:ktǒ:sdi|ja¹kto²³sdi|He is looking at you (1)|jaa1ktoo23sdi
ᎦᏥᏲᎵᏨᎢ|gaji:yo:li:jv̌:ɂi|gạ²ji²yo²li²jv²³ɂi|I recognized them (animate) a while ago|ga2jii2yoo2lii2jvv23-i
ᏗᎦᏚᎩᏍᏗ|digatǔ:gî:sdi|dị²gạ²tu²³gi³²sdi|For all of us to drink alcoholic drinks|di2ga2tuu23gii32sdi
ᏕᎯᏍᏗᎦ|de:hisdǐ:gā|de²hị²sdi²³ga²|You (1) recently ate rod shaped things|dee2hi2sdii23ga2
ᎨᏦᎵᏍᏗ|gé:jo:lí:sdi|ge³jo²li³sdi|For them to recognize you all|gee3joo2lii3sdi
ᏙᎩᎾᏓᎧᎰᎢ|dò:ginada:kahó:ɂi|do¹gị²nạ²da²kạ²ho³ɂi|He and I usually have each other|doo1gi2na2daa2ka2hoo3-i
ᏕᏣᏓᏙᎵᏨᎢ|dé:jada:dohljv̌:ɂi|de³jạ²da²dohl²jv²³ɂi|You all were acquainted a while ago|dee3ja2daa2dohl2jvv23-i
ᏗᎩᎾᏚᎩᏍᏗ|diginatǔ:gî:sdi|dị²gị²nạ²tu²³gi³²sdi|For you (1) and me to drink alcoholic drinks|di2gi2na2tuu23gii32sdi
ᏍᏛᏌ|sdv̋:sa|sdv⁴sa|You both alone|sdvv4sa
ᎪᏦᎵᏍᏗ|go:jo:lí:sdi|go²jo²li³sdi|For them and me to recognize them (animate)|goo2joo2lii3sdi
ᏧᎾᏚᎸᏗ|jù:naduhldi|ju¹nạ²duhl²di|For them to want them|juu1na2duhl2di
ᏕᏍᏓᏓᏙᎵᏨᎢ|de:sdada:dohljv̌:ɂi|de²sdạ²da²dohl²jv²³ɂi|You both were acquainted a while ago|dee2sdaa2daa2dohl2jvv23-i
ᎭᏓᎦᏙᏍᏗ|hadà:ktǒ:sdi|hạ²da¹kto²³sdi|You (1) are looking at yourself|haa2daa1ktoo23sdi
ᎢᏨᏌ|ì:jv̋:sa|i¹jv⁴sa|You all alone|ii1jvv4sa
ᏗᏥᏍᏗᎦ|diji:sdǐ:ga|dị²ji²sdi²³ga|Let you all eat rod shaped things|di2jii2sdii23ga
ᎪᏍᏙᎵᏍᏗ|go:sdo:lí:sdi|go²sdo²li³sdi|For him and me to recognize them (animate)|goo2sdoo2lii3sdi
ᎩᎾᏓᎪᏩᏛᏗ|ginada:gowhtv́hdi|gị²nạ²da²gowh²tvh³di|For you (1) and me to see ourselves|gi2na2daa2gowh2tvh3di
ᎠᎾᏓᎦᏙᏍᏗ|à:nadà:ktǒ:sdi|a¹nạ²da¹kto²³sdi|They are looking at themselves|aa1naa2daa1ktoo23sdi
ᏕᏨᏲᎢ|dé:jù:wǎ:yóɂi|de³ju¹wa²³yọ³ɂi|You all usually have rod shaped things|dee3juu1waa23yo3-i
ᎢᎾᏓᎦᏙᏍᏗ|ì:nadà:ktǒ:sdi|i¹nạ²da¹kto²³sdi|You (1) and I are looking at ourselves|ii1na2daa1ktoo23sdi
ᎢᎩᏘᏗ|ì:gì:tdi|i¹gi¹tdi|For all of us to bake something|ii1gii1tdi
ᏕᏍᏛᏲᎢ|de:sdù:wǎ:yóɂi|de²sdu¹wa²³yọ³ɂi|You both usually have rod shaped things|dee2sduu1waa23yo3-i
ᎢᏓᏓᎦᏙᏍᏗ|ì:dadà:ktǒ:sdi|i¹dạ²da¹kto²³sdi|All of us are looking at ourselves|ii1da2daa1ktoo23sdi
ᎣᎩᏘᏗ|ò:gì:tdi|o¹gi¹tdi|For them and me to bake something|oo1gii1tdi
ᏫᏗᏥᏚᎲᎦ|widijìdu:hv̀:ga|wị²dị²jị¹du²hv¹ga|Let me bake things|wi2di2ji1duu2hvv1ga
ᏍᏉᎵᎩ|sgwohlgi|sgwohl²gi|Let you (1) recognize me|sgwohl2gi
ᏫᏦᏦᎵᎩ|wijò:johlgi|wị²jo¹johl²gi|Let them and me understand things|wi2joo1johl2gi
ᏫᏗᎪᎵᎩ|widigohlgi|wị²dị²gohl²gi|Let him understand things; Let him recognize them (animate)|wi2di2gohl2gi
ᏫᏗᏃᎵᎩ|widinohlgi|wị²dị²nohl²gi|Let them understand things; Let them recognize them (animate)|wi2di2nohl2gi
ᏫᏦᏍᏙᎵᎩ|wijò:sdohlgi|wị²jo¹sdohl²gi|Let him and me understand things|wi2joo1sdohl2gi
ᏕᎪᎵᎦ|de:gohlgā|de²gohl²ga²|He recently understood things; He recently recognized them (animate)|dee2gohl2ga2
ᎨᏂᎪᏩᏔ|ge:ni:gò:wahta|ge²ni²go¹wah²ta|Let you (1) and me see them (animate)|gee2nii2goo1wah2ta
ᎨᏗᎪᏩᏔ|ge:di:gò:wahta|ge²di²go¹wah²ta|Let all of us see them (animate)|gee2dii2goo1wah2ta
ᎨᏥᎪᏩᏔ|ge:ji:gò:wahta|ge²ji²go¹wah²ta|Let you all see them (animate)|gee2jii2goo1wah2ta
ᎨᏍᏗᎪᏩᏔ|ge:sdi:gò:wahta|ge²sdi²go¹wah²ta|Let you both see them (animate)|gee2sdii2goo1wah2ta
ᏗᏍᏗᎪᏩᏔ|disdi:gò:wahta|dị²sdi²go¹wah²ta|Let you both see them (inanimate)|di2sdii2goo1wah2ta
ᏍᎩᎾᏚᎳ|sginadǔ:la|sgị²nạ²du²³la|Let you (1) or both want us both|sgi2na2duu23la
ᎤᎪᎲᎢ|ù:go:hv̌:ɂi|u¹go²hv²³ɂi|He saw him a while ago; He saw it a while ago|uu1goo2hvv23-i
ᎡᎩᎪᎲᎢ|è:gi:go:hv̌:ɂi|e¹gi²go²hv²³ɂi|All of us were seen a while ago|ee1gii2goo2hvv23-i
ᎡᏂᎪᎲᎢ|è:ni:go:hv̌:ɂi|e¹ni²go²hv²³ɂi|You (1) and I saw him a while ago|ee1nii2goo2hvv23-i
ᎡᏗᎪᎲᎢ|è:di:go:hv̌:ɂi|e¹di²go²hv²³ɂi|All of us saw him a while ago|ee1dii2goo2hvv23-i
ᎡᏥᎪᎲᎢ|è:ji:go:hv̌:ɂi|e¹ji²go²hv²³ɂi|You all saw him a while ago; You all were seen a while ago|ee1jii2goo2hvv23-i
ᏕᎩᎾᏚᎳ|de:ginadǔ:lā|de²gị²nạ²du²³la²|You (1) and I recently wanted them (inanimate)|dee2gi2na2duu23la2
ᎡᏍᏗᎪᎲᎢ|è:sdi:go:hv̌:ɂi|e¹sdi²go²hv²³ɂi|You both saw him a while ago; You both were seen a while ago|ee1sdii2goo2hvv23-i
ᎡᎩᏂᎪᎲᎢ|è:gini:go:hv̌:ɂi|e¹gị²ni²go²hv²³ɂi|You (1) and I were seen a while ago|ee1gi2nii2goo2hvv23-i
ᎢᎩᏥ|ì:gi:ji|i¹gi²ji|Your all's and my mother|ii1gii2ji
ᎠᏂᎷᎦ|à:ni:lù:gā|a¹ni²lu¹ga²|They recently climbed it|aa1nii2luu1ga2
ᏚᏁᎰᎢ|du:ne:hó:ɂi|du²ne²ho³ɂi|He usually has liquid things|duu2nee2hoo3-i
ᏫᏗᎦᎦᏙᏍᏓ|widigagà:tǒ:sda|wị²dị²gạ²ga¹to²³sda|Let me look at them (inanimate)|wi2di2ga2gaa1too23sda
