ID|PSET|VSET|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ANSWER|FILENAME
*|||ᏦᎢᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᏦᎢᏁᎢ ᎠᏕᎶᏆᏍᏗ|joɂi:ne̋:ɂi à:de:hlohgwà:sdi|third lesson.|

#Chapter 4
||||||ᏅᎩᏁᎢ|nvhgi:ne̋:ɂi|fourth.|
*|||ᏅᎩᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᏅᎩᏁᎢ ᎠᏕᎶᏆᏍᏗ|nvhgi:ne̋:ɂi à:de:hlohgwà:sdi|fourth lesson.|
||||||ᎠᏲ|ayo!|Ouch!|
|||Ꭰ|ᎣᏍᏓ||ᎣᏍᏓ|ő:sda|“Good. Well.”|
|||Ꭴ|ᎤᏲᎢ||ᎤᏲᎢ|u:yő:ɂi|“Bad.”|
||||||ᎥᎥ|v:v|Yes.|
||||||ᎥᏝ|vtla.|No. Not.|
||||||Ꮒ!|ni!|Look at that!|
||||||ᏣᎳᎩ|jalagi|Cherokee.|
|||Ꭰ|ᏴᏫ||ᎠᏴᏫ|ayv:wi|“A person.”|
|||Ꭴ|ᎤᏁᎦ||ᎤᏁᎦ|u:ne̋:ga|“White.”|
||||||ᏲᏁᎦ|yó:ne:ga|English.|
||||||ᏴᏭᏁᎦ|yv́:wúne:ga|English.|

#Chapter 5
||||||ᎯᏍᎩᏁᎢ|hisgi:ne̋:ɂi|fifth.|
*|||ᎯᏍᎩᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᎯᏍᎩᏁᎢ ᎠᏕᎶᏆᏍᏗ|hisgi:ne̋:ɂi à:de:hlohgwà:sdi|fifth lesson.|
||||||ᎦᏙ ᎤᏍᏗ|gadō ű:sdi|Which one?|
||||||ᎯᎳ ᎢᎦ|hila̋ ǐ:ga̋|How many?|
||||||ᎯᎳ ᏱᎾᎢ|hila̋ iyáni|How many?|
||||||ᏌᏊ|sà:gwű|One.|
||||||ᏔᎵ|táɂli|Two.|
||||||ᎠᏂᏔᎵ|a:nitáɂli|Two.|
||||||ᏦᎢ|joɂi|Three.|
||||||ᎠᏂᏦᎢ|a:nijoɂi|Three.|
||||||ᏅᎩ|nvhgi|Four.|
||||||ᎯᏍᎩ|hisgi|Five.|
||||||ᏑᏓᎵ|sǔ:dáli|Six.|
||||||ᎦᎵᏉᎩ|gahlgwǒ:gi|Seven.|
||||||ᏑᏓᎵᏁᎢ|sǔ:dáli:ne̋:ɂi|Sixth.|
||||||ᎦᎵᏉᎩᏁᎢ|gahlgwǒ:gi:ne̋:ɂi|Seventh.|

#Chapter 6
*|||ᏑᏓᎵᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᏑᏓᎵᏁᎢ ᎠᏕᎶᏆᏍᏗ|sǔ:dáli:ne̋:ɂi à:de:hlohgwà:sdi|sixth lesson.|
|||Ꭰ|ᎠᎪᏩᏘᎭ||ᎠᎪᏩᏘᎭ|à:gowhtíha|“He sees him or it.”|
|||ᎠᏂ|ᎠᎪᏩᏘᎭ||ᎠᏂᎪᏩᏘᎭ|à:nigowhtíha|“They see him or it.”|
|||Ꮣ|ᎠᎪᏩᏘᎭ||ᏓᎪᏩᏘᎭ|dà:gowhtíha|“He sees them.”|
|||ᏓᏂ|ᎠᎪᏩᏘᎭ||ᏓᏂᎪᏩᏘᎭ|dà:nigowhtíha|“They see them.”|
||||ᎠᎴ||ᎠᎴ|ale|“And. Or.”|
||||ᎠᎴ||ᏃᎴ|nole|“And. Or.”|
|||Ꭰ|ᎠᎨᏯ||ᎠᎨᏯ|agě:hya|“A woman.”|
|||ᎠᏂ|ᎠᏂᎨᏯ||ᎠᏂᎨᏯ|ani:gě:hya|“Women.”|
|||Ꭰ|ᎠᏍᎦᏯ||ᎠᏍᎦᏯ|asgaya|“A man.”|
|||Ꭰ|ᎠᏍᎦᏯ||ᎠᏂᏍᎦᏯ|ani:sgaya|“Men.”|
|||ᎦᏙ|ᏧᏍᏗ||ᎦᏙ ᏧᏍᏗ|gadō jű:sdi|“Which ones?”|
|||ᎦᏙ|ᎤᎾᏍᏗ||ᎦᏙ ᎤᎾᏍᏗ|gadō űnsdi|“Which ones?”|
||||ᎩᏟ||ᎩᏟ|gi:hli|“A dog. Dogs.”|
||||ᏄᎾ||ᏄᎾ|nǔ:na|“A potato. Potatoes.”|
||||ᏅᏯ||ᏅᏯ|nv̀:ya|“A rock. Rocks.”|
||||ᏪᏌ||ᏪᏌ|wě:sa|“A cat. Cats.”|

#Chapter 7
*|||ᎦᎵᏉᎩᏁᎢ|ᎠᏕᎶᏆᏍᏗ||ᎦᎵᏉᎩᏁᎢ ᎠᏕᎶᏆᏍᏗ|Gahlgwo:gi:ne̋:ɂi à:de:hlohgwà:sdi|seventh lesson.|
|||Ꮵ:|ᎠᎪᏩᏘᎭ||ᏥᎪᏩᏘᎭ|ji:gowhtíha|“I see him.”|
|||Ꮵ|ᎠᎪᏩᏘᎭ||ᏥᎪᏩᏘᎭ|jigowhtíha|“I see it.”|
|||ᎦᏥ|ᎠᎪᏩᏘᎭ||ᎦᏥᎪᏩᏘᎭ|ga:ji:gowhtíha|“I see them.”|
|||ᏕᏥ|ᎠᎪᏩᏘᎭ||ᏕᏥᎪᏩᏘᎭ|de:jigowhtíha|“I see them.”|
|||Ꭿ:|ᎯᎪᏩᏘᎭ||ᎯᎪᏩᏘᎭ|hi:gowhtíha|“You see him.”|
|||Ꭿ|ᎠᎪᏩᏘᎭ||ᎯᎪᏩᏘᎭ|higowhtíha|“You see it.”|
|||ᎦᎯ|ᎠᎪᏩᏘᎭ||ᎦᎯᎪᏩᏘᎭ|ga:hi:gowhtíha|“You see them.”|
|||ᏕᎯ|ᎠᎪᏩᏘᎭ||ᏕᎯᎪᏩᏘᎭ|de:higowhtíha|“You see them.”|
||||ᎠᎭᏂ||ᎠᎭᏂ|áhani|“Here.”|
||||ᎠᎭᏂ||ᎠᏂ|áhni|“Here.”|
||||ᎢᎾ||ᎢᎾ|i̋:na|“Far.”|
||||ᎤᎿ||ᎤᎿ|ù:hna̋|“There.”|
||||ᎾᎥ||ᎾᎥ|naɂv|“Near. Close by.”|

*||||||ᎯᏍᎩ ᏅᏯ ᏕᏥᎪᏩᏘᎭ.|hisgi nv̀:ya de:jigowhtíha|I see five rocks.|
*||||||ᎩᏟ ᎠᏂᏍᎦᏯ ᏓᎪᏩᏘᎭ.|gi:hli ani:sgaya dà:gowhtíha|The dog sees men.|
*||||||ᎠᏍᎦᏯ ᎩᏟ ᏓᎪᏩᏘᎭ.|asgaya gi:hli dà:gowhtíha|The man sees dogs.|
*||||||ᏑᏓᎵ ᏄᎾ ᏕᎯᎪᏩᏘᎭ.|sǔ:dáli nǔ:na de:higowhtíha|You see six potatoes.|
*||||||ᎠᎨᏯ ᏄᎾ ᏓᎪᏩᏘᎭ.|agě:hya nǔ:na dà:gowhtíha|The woman sees potatoes.|
*||||||ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ.|asgaya ji:gowhtíha|I see a man.|
*||||||ᏪᏌ ᏑᏓᎵ ᎠᏂᎨᏯ ᏓᎪᏩᏘᎭ.|wě:sa sǔ:dáli ani:gě:hya dà:gowhtíha|The cat sees six women.|
*||||||ᎠᏂᏍᎦᏯ ᏪᏌ ᏓᏂᎪᏩᏘᎭ.|ani:sgaya wě:sa dà:nigowhtíha|The men see cats.|
*||||||ᏪᏌ ᎯᎪᏩᏘᎭ.|wě:sa hi:gowhtíha|You see a cat.|
*||||||ᎦᎵᏉᎩ ᏪᏌ ᎦᏥᎪᏩᏘᎭ.|gahlgwǒ:gi wě:sa ga:ji:gowhtíha|I see seven cats.|
*||||||ᎠᏂᎨᏯ ᏄᎾ ᎠᏂᎪᏩᏘᎭ.|ani:gě:hya nǔ:na à:nigowhtíha|The women see a potato.|
*||||||ᎩᏟ ᎠᏂᎨᏯ ᏓᏂᎪᏩᏘᎭ.|gi:hli ani:gě:hya dà:nigowhtíha|The dogs see women.|
*||||||ᎠᏂᏍᎦᏯ ᏅᏯ ᏓᏂᎪᏩᏘᎭ.|ani:sgaya nv̀:ya dà:nigowhtíha|The men see rocks.|
*||||||ᏅᏯ ᏕᏥᎪᏩᏘᎭ.|nv̀:ya de:jigowhtíha|I see rocks.|
*||||||ᏅᏯ ᎯᎪᏩᏘᎭ.|nv̀:ya higowhtíha|You see a rock.|
*||||||ᎠᏂᎨᏯ ᎩᏟ ᎠᏂᎪᏩᏘᎭ.|ani:gě:hya gi:hli à:nigowhtíha|The women see a dog.|
*||||||ᎠᏂᎨᏯ ᏦᎢ ᏄᎾ ᏓᎪᏩᏘᎭ.|ani:gě:hya joɂi nǔ:na dà:gowhtíha|The woman sees three potatoes.|
*||||||ᏅᏯ ᏥᎪᏩᏘᎭ.|nv̀:ya jigowhtíha|I see a rock.|
*||||||ᎯᏍᎩ ᎠᏂᏍᎦᏯ ᏪᏌ ᎠᏂᎪᏩᏘᎭ.|hisgi ani:sgaya wě:sa à:nigowhtíha|The five men see a cat.|
*||||||ᎠᏍᎦᏯ ᏄᎾ ᎠᎪᏩᏘᎭ.|asgaya nǔ:na à:gowhtíha|The man sees a potato.|
*||||||ᏪᏌ ᎦᏥᎪᏩᏘᎭ.|wě:sa ga:ji:gowhtíha|I see cats.|
*||||||ᎠᏂᏦᎢ ᎩᏟ ᎦᎯᎪᏩᏘᎭ.|a:nijoɂi gi:hli ga:hi:gowhtíha|You see three dogs.|
*||||||ᎩᏟ ᎦᎯᎪᏩᏘᎭ.|gi:hli ga:hi:gowhtíha|You see dogs.|
*||||||ᎠᎨᏯ ᎯᎪᏩᏘᎭ.|agě:hya hi:gowhtíha|You see a woman.|
*||||||ᏅᎩ ᎠᏂᏍᎦᏯ ᎦᎯᎪᏩᏘᎭ.|nvhgi ani:sgaya ga:hi:gowhtíha|You see four men.|
*||||||ᎠᏂᎨᏯ ᎦᎯᎪᏩᏘᎭ.|ani:gě:hya ga:hi:gowhtíha|You see women.|
*||||||ᎩᏟ ᎠᎨᏯ ᎠᎪᏩᏘᎭ.|gihli agě:hya à:gowhtíha|The dog sees a woman.|
*||||||ᏅᏯ ᏕᎯᎪᏩᏘᎭ.|nv̀:ya de:higowhtíha|You see rocks.|
*||||||ᎠᏂᏔᎵ ᏪᏌ ᎠᏂᏔᎵ ᎠᏂᏍᎦᏯ ᏓᏂᎪᏩᏘᎭ.|a:nitáɂli wě:sa a:nitáɂli ani:sgaya dà:nigowhtíha|The two cats see two men.|
*||||||ᎠᏂᏦᎢ ᎠᏂᎨᏯ ᎠᏂᏦᎢ ᎩᏟ ᏓᏂᎪᏩᏘᎭ.|a:nijoɂi ani:gě:hya a:nijoɂi gi:hli dà:nigowhtíha|The three women see three dogs.|
*||||||ᏪᏌ ᎠᏍᎦᏯ ᎠᏂᎪᏩᏘᎭ.|wě:sa asgaya à:nigowhtíha|The cats see a man.|
*||||||ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.|ani:sgaya ga:ji:gowhtíha|I see men.|

#Chapter 8
|||Ꭰ|ᎠᏴ||ᎠᏴ|ayv|“I. We.”|
||||ᎥᏍᎩᎾ||ᎥᏍᎩᎾ|v̀:sgina|“He. She. They. That. Those.”|
*||||ᎥᏍᎩᎾ||ᎥᏍᎩ|v̀:sgi|“He. She. They. That. Those.”|
||||ᎥᏍᎩᎾ||ᏍᎩᎾ|sgina|“He. She. They. That. Those.”|
||||ᎥᏍᎩᎾ||ᎾᏍᎩ|nà:sgi|“He. She. They. That. Those.”|
||||ᎭᏢ||ᎭᏢ|ha:dlv|“Where?”|
||||||ᎯᎠ|hiɂa|“He. She. They. This. These.”|
*||||||ᎯᎢ|hiɂi|“He. She. They. This. These.”|
||||||Ꮎ|na|“He. She. They. That. Those.”|
||||||ᏂᎯ|nihi|“You. You two. You all.”|

#Chapter 9
|||Ꭶ|ᎠᎦᏔᎰᎢ||ᎦᏬᏂᏍᎬᎢ ᎠᎦᏔᎲᎢ|Gawó:ni:sgv́:ɂi à:ktahv́:ɂi|“Grammar. Knowing how to speak.”
|||Ꭰ|ᎠᏫ||ᎠᎭᏫ|ahawi|“A deer. Deer.”|
|||Ꭶ|ᎪᏪᎵ||ᎪᏪᎵ|go:hwe:li|“A sheet of paper.”|
|||ᏗᎦ|ᎪᏪᎵ||ᏗᎪᏪᎵ|digo:hwe:li|“Sheets of paper.”|
||||ᎫᎴ||ᎫᎴ|gu:le|“An acorn. Acorns.”|
||||ᏙᏯ||ᏙᏯ|do:ya|“A beaver. Beaver.”|
||||ᏚᏯ||ᏚᏯ|tǔ:ya|“A bean. Beans.”|
||||ᏥᏍᏚ||ᏥᏍᏚ|ji:sdu|“A rabbit. Rabbits.”|
||||ᏩᏯ||ᏩᎭᏯ|wahaya|“A wolf. Wolves.”|
||||ᏩᏯ||ᏩᏯ|wahya|“A wolf. Wolves.”|
|||ᎣᏍᏓ|ᏙᏯ||ᎣᏍᏓ ᏙᏯ.|ő:sda do:ya|“A good beaver.”|

*||||||Ꮭ ᎣᏍᏓ ᏙᏯ ᏱᎩ.|hla ő:sda do:ya yi̋:gi|“It isn't a good beaver.”|
*||||||ᎥᏝ, Ꮭ ᎣᏍᏓ ᏙᏯ ᏱᎩ.|vhla, hla ő:sda do:ya yi̋:gi| “No, it isn't a good beaver.”|
*||||||ᏩᏯ ᎤᏲᎢ.|wahya u:yő:ɂi|“The wolf is bad.”|
*||||||Ꮭ ᏩᏯ ᎤᏲᎢ ᏱᎩ.|hla wahya u:yő:ɂi yi̋:gi|“The wolf isn't bad.”|
*||||||ᎥᏝ, Ꮭ ᏩᏯ ᎤᏲᎢ ᏱᎩ.|vhla, hla wahya u:yő:ɂi yi̋:gi|“No, the wolf isn't bad.”|
*||||||ᏩᏯ ᎠᏂ.|wahya áhni|“The wolf is here.”|
*||||||Ꮭ ᏩᏯ ᎠᏂ ᏱᎩ.|hla wahya áhni yi̋:gi|“The wolf isn't here.”|
*||||||ᎥᏝ, Ꮭ ᏩᏯ ᎠᏂ ᏱᎩ.|vhla, hla wahya áhni yi̋:gi|“No, the wolf isn't here.”|

*||||||ᎠᏂᎨᏯ ᎩᏟᏊ ᏓᏂᎪᏩᏘᎭ.|ani:gě:hya gi:hligwu dà:nigowhtíha|The women see only the dogs.|

*||||||ᎠᏍᎦᏯ ᏩᎭᏯ ᏓᎪᏩᏘᎭᏊ.|asgaya wahaya dà:gowhtíhagwu|The man is only seeing the wolves.|
*||||||ᎠᏂᏍᎦᏯᏍ ᎠᏂᎪᏩᏘᎭ?|ani:sgayas à:nigowhtíha|Do the men see it?|
*||||||ᎦᏥᎪᏩᏘᎭᏍᎪ?|ga:ji:gowhtíhasgo|Do I see them?|
*||||||ᎠᎨᏯ ᏩᏯᏊ ᏓᎪᏩᏘᎭ.|agě:hya wahyagwu dà:gowhtíha|The woman sees only wolves.|
*||||||ᎠᏴᏊ ᎩᏟ ᏥᎪᏩᏘᎭ.|ayvgwu gi:hli ji:gowhtíha|Only I see the dog.|
*||||||ᎠᏂᎨᏯᏧ ᏩᏯ ᎠᏂᎪᏩᏘᎭ?|ani:gě:hyaju wahya à:nigowhtíha|The women see the wolf, right?

*||||||ᏕᏥᎪᏩᏘᎭᏍᎪ?|de:jigowhtíhasgo|Do I see them?|
*||||||ᏕᎯᎪᏩᏘᎭᏍ?|de:higowhtíhas|Do you see them?|
*||||||ᎠᏍᎦᏯᏧ ᏪᏌ ᏓᎪᏩᏘᎭ?|asgayaju wě:sa dà:gowhtíha|The man sees the cats, right?|
*||||||ᏪᏌᏊ ᏥᎪᏩᏘᎭ.|wě:sagwu ji:gowhtíha|I see only the cat.|
*||||||ᎠᎨᏯᏍ ᏅᏯ ᏓᎪᏩᏘᎭ?|agě:hyas nv̀:ya dà:gowhtíha|Does the woman see the rocks?|
*||||||ᎠᏫᏍᎪ ᏥᎪᏩᏘᎭ?|ahwisgo ji:gowhtíha|Do I see a deer?|
*||||||ᏣᎳᎩᏧ?|jalagiju|It is Cherokee, right?|

*||||||ᏄᎾᏍ ᏥᎪᏩᏘᎭ?|nǔ:nas jigowhtíha|Do I see the potato?|
*||||||ᎠᏂᏍᎦᏯᏍᎪ ᎠᎭᏫ ᏓᏂᎪᏩᏘᎭᏊ?|ani:sgayasgo ahawi dà:nigowhtíhagwu|Are the men only seeing the deer?|
*||||||ᎠᏂᏍᎦᏯᏍ ᏄᎾᏊ ᏓᏂᎪᏩᏘᎭ?|ani:sgayas nǔ:nagwu dà:nigowhtíha|Are the men seeing only the potatoes?|
*||||||ᏗᎪᏪᎵ ᏓᏂᎪᏩᏘᎭ.|digo:hwe:li dà:nigowhtíha|They see the papers.|
*||||||ᎠᎨᏯ ᏓᎪᏩᏘᎭ.|agě:hya dà:gowhtíha|The woman see them.|
*||||||ᎠᏍᎦᏯᏊᏍᎪ ᏗᎪᏪᎵ ᏓᎪᏩᏘᎭ?|asgayagwusgo digo:hwe:li dà:gowhtíha|Is only the man seeing the papers?|

*||||||ᏥᏍᏚ ᏥᎪᏩᏘᎭ.|ji:sdu ji:gowhtíha|I see the rabbit.|
*||||||ᎠᏍᎦᏯᏍᎪ ᏅᏯᏊ ᎠᎪᏩᏘᎭ?|asgayasgo nv̀:yagwu à:gowhtíha|Is the man seeing only the rock?|
*||||||ᎯᎳ ᎢᎦ ᏚᏯ? ᎯᏍᎩᏍ?|hila̋ ǐ:ga̋ tǔ:ya. hisgis|How many beans? Is it five?|
*||||||ᎠᎨᏯᏍᎪ ᎠᎪᏩᏘᎭ?|agě:hyasgo à:gowhtíha|Does the woman see it?|
*||||||ᎤᏲᎢᏊᏍ?|u:yő:ɂis|Is it just bad?|
*||||||ᎠᏂᎨᏯ ᏓᏂᎪᏩᏘᎭ.|ani:gě:hya dà:nigowhtíha|The women see them.|
*||||||ᏅᏯᏊ ᏥᎪᏩᏘᎭ.|nv̀:yagwu jigowhtíha|I see only the rock.|
*||||||ᎠᏂᎨᏯ ᏪᏌᏊ ᎠᏂᎪᏩᏘᎭ.|ani:gě:hya wě:sa à:nigowhtíha|The women see only the cat.|

*||||||ᎠᏂᏍᎦᏯ ᎠᏫ ᏓᏂᎪᏩᏘᎭᏊ.|ani:sgaya ahwi dà:nigowhtíha|The men are only seeing the deer.|

*||||||ᎠᏂᏍᎦᏯ ᎩᏟ ᎠᏂᎪᏩᏘᎭ.|ani:sgaya gi:hli à:nigowhtíha|The men see the dog.|
*||||||ᎠᎨᏯᏍᎪ ᏚᏯᏊ ᏓᎪᏩᏘᎭ?|ani:gě:hyasgo tǔ:yagwu dà:gowhtíha|Is the woman seeing only the beans?|
*||||||ᎠᏂᎨᏯᏍ ᎠᎭᏫ ᎠᏂᎪᏩᏘᎭ?|ani:gě:hyas ahawi à:nigowhtíha|Do the women see the deer?|
*||||||ᎠᏍᎦᏯ ᏙᏯ ᏓᎪᏩᏘᎭ.|asgaya do:ya dà:gowhtíha|The man sees the beaver.|
*||||||ᏙᏯᏍ ᎦᎯᎪᏩᏘᎭ?|do:yas ga:hi:gowhtíha|Do you see the beavers?|

*||||||ᎠᏂᏍᎦᏯ ᎠᏂᎪᏩᏘᎭ.|ani:sgaya à:nigowhtíha|The men see it.|
*||||||ᎠᏂᎨᏯᏊᏍᎪ ᎫᎴ ᏓᏂᎪᏩᏘᎭ?|ani:gě:hyagwusgo gu:le dà:nigowhtíha|Are only the women seeing the acorns?|
*||||||ᎠᏍᎦᏯ ᏩᎭᏯ ᎠᎪᏩᏘᎭ.|asgaya wahaya à:gowhtíha|The man sees the wolf.|
*||||||ᎠᎨᏯᏊ ᏥᏍᏚ ᏓᎪᏩᏘᎭ.|agě:hyagwu ji:sdu dà:gowhtíha|Only the woman sees the rabbits.|
*||||||ᎫᎴ ᏥᎪᏩᏘᎭ.|gu:le jigowhtíha|I see the acorn.|
*||||||ᎠᏂᏍᎦᏯᏊ ᎫᎴ ᎠᏂᎪᏩᏘᎭ.|ani:sgayagwu gu:le à:nigowhtíha|Only the men see the acorn.|
*||||||ᎠᏂᎨᏯᏍᎪ ᏚᏯᏊ ᎠᏂᎪᏩᏘᎭ?|ani:gě:hyasgo tǔ:yagwu à:nigowhtíha|Are the women seeing only the bean?|
*||||||ᏲᏁᎦᎲ?|yó:ne:gahv|But for it being English?|

*||||||ᎠᏂᏍᎦᏯ ᏩᏯ ᏓᏂᎪᏩᏘᎭ.|ani:sgaya wahya dà:nigowhtíha|The men see the wolves.|
*||||||ᏴᏭᏁᎦᏊᏧ?|yv́:wúne:gagwuju|It is just English, right?|
*||||||ᏙᏯ ᎯᎪᏩᏘᎭ.|do:ya hi:gowhtíha|You see the beaver.|
*||||||ᏥᎪᏩᏘᎭᏍ?|ji:gowhtíhas|Do I see him/her?|
*||||||ᎠᎭᏫᏍᎪ ᎯᎪᏩᏘᎭ?|ahawisgo hi:gowhtíha|Do you see a deer?|
*||||||ᎠᏍᎦᏯᏍ ᏓᎪᏩᏘᎭ?|asgayas dà:gowhtíha|Does the man see them?|
*||||||ᎪᏪᎵ ᏥᎪᏩᏘᎭᏊ.|go:hwe:li jigowhtíha|I am only seeing the paper.|

*||||||ᎠᎨᏯ ᎠᏫᏊ ᎠᎪᏩᏘᎭ.|agě:hya ahawigwu à:gowhtíha|The woman sees only the deer.|
*||||||ᎠᏍᎦᏯᏊ ᏄᎾ ᎠᎪᏩᏘᎭ.|asgayagwu nǔ:na à:gowhtíha|Only the man sees the potato.|
*||||||ᎣᏍᏓᏊᏧ?|ő:sdagwuju|It is just good, right?|
*||||||ᎠᏂᎨᏯᏊ ᏚᏯ ᏓᏂᎪᏩᏘᎭ.|ani:gě:hyagwu tǔ:ya dà:nigowhtíha|Only the women see the beans.|
*||||||ᎦᎯᎪᏩᏘᎭᏍ?|ga:hi:gowhtíhas|Do you see them?|
*||||||ᎠᏂᏍᎦᏯᏧ ᏗᎪᏪᎵ ᏓᏂᎪᏩᏘᎭ?|ani:sgayaju digo:hwe:li dà:nigowhtíha|The men see the papers, right?|
*||||||ᎠᎨᏯᏊᏍᎪ ᏥᏍᏚ ᎠᎪᏩᏘᎭ?|agě:hyagwusgo ji:sdu à:gowhtíha|Is only the woman seeing the rabbit?|
*||||||ᏄᎾᏍ ᏓᏂᎪᏩᏘᎭ?|nǔ:na dà:nigowhtíha|Do they see the potatoes?|

#Chapter 10 ᏍᎪᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||ᎠᏂ|ᎠᏫ||ᎠᏂᎠᏫ|à:ni:ɂahwi|“The deer people.”|
|||ᎠᏂ|ᎩᏟ||ᎠᏂᎩᏟ|à:ni:gi:hli|“The dog people.”|
|||ᎠᏂ|ᏥᏍᏚ||ᎠᏂᏥᏍᏚ|à:ni:ji:sdu|“The rabbit people.”|
|||ᎠᏂ|ᏩᏯ||ᎠᏂᏩᎭᏯ|à:ni:wahaya|“The wolf people.”|
|||ᎠᏂ|ᏪᏌ||ᎠᏂᏪᏌ|à:ni:wě:sa|“The cat people.”|
||||ᏙᎯ||ᏙᎯ|tò:hi̋|“Peaceful. Well in health.”|
||||||ᏙᎯᏧ?|tò:hi̋:ju|“It is well, isn't it?”|
||||ᏙᎯᏊ||ᏙᎯᏊ|tò:hi̋:gwu|“It is just well.”“Things are just well.”|
|||ᏛᎬ|ᎤᎪᎲᎢ||ᏛᎬᎪᎯ|dv:gv:go:hi|“I will see you one again.”|
|||ᏛᏍᎩ|ᎤᎪᎲᎢ||ᏛᏍᎩᎪᎯ|dv:sgi:go:hi|“You one will see me again.”|
|||ᏛᏍᏛ|ᎤᎪᎲᎢ||ᏛᏍᏛᎪᎯ|dv:sdv:go:hi|“I will see you two again.”“We two will see you one again.”“We two will see you two again.”|
|||ᏛᏍᎩᏂ|ᎤᎪᎲᎢ||ᏛᏍᎩᏂᎪᎯ|dv:sgini:go:hi|“You one will see us two again.”“You two will see me or us two again.”|
|||ᏛᎢᏨ|ᎤᎪᎲᎢ||ᏛᎢᏨᎪᎯ|dv:ɂì:jv:go:hi|“I will see you all again.”“We two will see you all again.”“We all will see you one or you two or you all again.”|
|||ᏛᎢᏍᎩ|ᎤᎪᎲᎢ||ᏛᎢᏍᎩᎪᎯ|dv:ɂì:sgi:go:hi|“You one will see us all again.”“You two will see us all again.”“You all will see me or us two or us all again.”|

#Chapter 11 ᏌᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||Ꭰ|ᎠᎨᏳᏣ||ᎠᎨᏳᏣ|age:hyű:ja|“A girl.”|
|||ᎠᏂ|ᎠᎨᏳᏣ||ᎠᏂᎨᏳᏣ|ani:ge:hyű:ja|“Girls.”|
|||Ꭰ|ᎠᏧᏣ||ᎠᏧᏣ|achű:ja|“A boy.”|
|||ᎠᏂ|ᎠᏧᏣ||ᎠᏂᏧᏣ|ani:chű:ja|“Boys.”|
||||||ᎦᏙ ᎠᏛᏁᎭ|gadō à:dv́:neha|“What is he doing?”|
||||||ᎦᏙ ᎠᎾᏛᏁᎭ|gadō à:na:dv́:neha|“What are they doing?”|
