ᎠᏓᎪᏩᏔ	a¹da²go¹wah²ta²	aa1daa2goo1wah2ta2
ᎨᏓᏚᎳ	ge²dạ²du²³la	gee2da2duu23la
ᏓᎩᎭ	da¹gị²ha	daa1gi2ha
ᏓᏂᎦ	da¹ni²ga²	daa1nii2ga2
ᎨᏣᏚᎳ	ge²jạ²du²³la	gee2ja2duu23la
ᏕᎩᎭ	de³gi²ha	dee3gii2ha
ᎡᏦᎵᎦ	e¹johl²ga	ee1johl2ga
ᏕᏂᎦ	de³ni²ga²	dee3nii2ga2
ᏕᏣᎭ	de²jạ²ha	dee2ja2ha
ᏕᏗᎦ	de³di²ga²	dee3dii2ga2
ᏍᏆᏚᎳ	sgwạ²du²³la	sgwa2duu23la
ᏕᏥᎦ	de²jị²ga²	dee2ji2ga2
ᏙᎩᎭ	do¹gi²ha	doo1gii2ha
ᏕᏥᎦ	de³ji²ga²	dee3jii2ga2
ᏚᏂᎭ	du¹ni²ha	duu1nii2ha
ᎥᏆᏚᎳ	v¹gwạ²du²³la²	vv1gwa2duu23la2
ᎢᏨᎪᎲᎢ	i¹jv²go²hv²³ɂi	ii1jvv2goo2hvv23-i
ᏙᏥᎦ	do¹ji²ga²	doo1jii2ga2
ᎣᎩᏂᎭ	o¹gị²ni²ha	oo1gi2nii2ha
ᎨᎦᏚᎳ	ge²gạ²du²³la²	gee2ga2duu23la2
ᏕᎩᏂᎭ	de²gị²ni²ha	dee2gi2nii2ha
ᏕᏍᏗᎦ	de²sdi²ga²	dee2sdii2ga2
ᏙᎩᏂᎭ	do¹gị²ni²ha	doo1gi2nii2ha
ᏙᏍᏗᎦ	do¹sdi²ga²	doo1sdii2ga2
ᎨᎪᎵᎦ	ge²go²li¹ga	gee2goo2lii1ga
ᎪᎦᏚᎳ	go²gạ²du²³la²	goo2ga2duu23la2
ᎦᎯᎪᎲᎢ	gạ²hi²go²hv²³ɂi	ga2hii2goo2hvv23-i
ᎪᏣᏚᎳ	go²jạ²du²³la²	goo2ja2duu23la2
ᎦᏥᎪᎲᎢ	gạ²ji²go²hv²³ɂi	ga2jii2goo2hvv23-i
ᎬᏆᏚᎳ	gv²gwạ²du²³la²	gvv2gwa2duu23la2
ᎨᏣᎪᎲᎢ	ge²jạ²go²hv²³ɂi	gee2ja2goo2hvv23-i
ᏭᏓᏚᎳ	wu¹dạ²du²³la	wuu1da2duu23la
ᎡᎩᎾᏚᎳ	e¹gị²nạ²du²³la	ee1gi2na2duu23la
ᎡᏍᏓᏚᎳ	e¹sdạ²du²³la	ee1sda2duu23la
ᏣᏓᏚᎳ	jạ²dạ²du²³la²	ja2da2duu23la2
ᎨᏍᏓᏚᎳ	ge²sdạ²du²³la	gee2sda2duu23la
ᏍᏛᎪᎲᎢ	sdv²go²hv²³ɂi	sdvv2goo2hvv23-i
ᎠᏓᏙᎵᎦ	a¹da²dohl²ga	aa1daa2dohl2ga
ᏍᎩᎾᏚᎳ	sgị²nạ²du²³la	sgi2na2duu23la
ᎭᏓᎪᏩᏔ	hạ²da²go¹wah²ta²	haa2daa2goo1wah2ta2
ᏗᎦᏓᏚᎳ	dị²gạ²dạ²du²³la	di2ga2da2duu23la
ᎢᎦᏓᏚᎳ	i¹gạ²dạ²du²³la²	ii1ga2da2duu23la2
ᎢᏣᏓᏚᎳ	i¹jạ²dạ²du²³la²	ii1ja2da2duu23la2
ᏗᏣᏓᏚᎳ	dị²jạ²dạ²du²³la	di2ja2da2duu23la
ᏩᏆᏓᏚᎳ	wa¹gwạ²dạ²du²³la	waa1gwaa2da2duu23la
ᎦᏓᏙᎵᎦ	gạ²da²dohl²ga	ga2daa2dohl2ga
ᎢᏍᎩᎪᎲᎢ	i¹sgi²go²hv²³ɂi	ii1sgii2goo2hvv23-i
ᎨᎩᎾᏚᎳ	ge²gị²nạ²du²³la²	gee2gi2na2duu23la2
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la²	gi2na2da2duu23la2
ᎪᎩᎾᏚᎳ	go²gị²nạ²du²³la²	goo2gi2na2duu23la2
ᎢᎾᏓᎪᏩᏔ	i¹nạ²da²go¹wah²ta²	ii1na2daa2goo1wah2ta2
ᎪᏍᏓᏚᎳ	go²sdạ²du²³la²	goo2sda2duu23la2
ᎢᏓᏓᎪᏩᏔ	i¹dạ²da²go¹wah²ta²	ii1da2daa2goo1wah2ta2
ᏍᏓᏓᏚᎳ	sdạ²dạ²du²³la²	sdaa2da2duu23la2
ᏬᎦᏓᏚᎳ	wo¹gạ²dạ²du²³la	woo1ga2da2duu23la
ᎠᎾᏓᏙᎵᎦ	a¹nạ²da²dohl²ga	aa1naa2daa2dohl2ga
ᏭᎾᏓᏚᎳ	wu¹nạ²dạ²du²³la	wuu1na2da2duu23la
ᎣᏣᏓᏙᎵᎦ	o¹jạ²da²dohl²ga	oo1ja2daa2dohl2ga
ᏗᎩᎾᏓᏚᎳ	dị²gị²nạ²dạ²du²³la	di2gi2na2da2duu23la
ᏗᏍᏓᏓᏚᎳ	dị²sdạ²dạ²du²³la	di2sdaa2da2duu23la
ᏓᎾᏓᏙᎵᎦ	da¹nạ²da²dohl²ga	daa1naa2daa2dohl2ga
ᏙᎦᏓᎪᎲᎢ	do¹gạ²da²go²hv²³ɂi	doo1ga2daa2goo2hvv23-i
ᏕᎾᏓᎪᏩᏔ	de³nạ²da²go¹wah²ta²	dee3na2daa2goo1wah2ta2
ᏚᎾᏓᎪᎲᎢ	du¹nạ²da²go²hv²³ɂi	duu1na2daa2goo2hvv23-i
ᏕᏓᏓᎪᏩᏔ	de³dạ²da²go¹wah²ta²	dee3da2daa2goo1wah2ta2
ᏙᏣᏓᏙᎵᎦ	do¹jạ²da²dohl²ga	doo1ja2daa2dohl2ga
ᎣᏍᏓᏓᏙᎵᎦ	o¹sdạ²da²dohl²ga	oo1sda2daa2dohl2ga
ᏙᎩᎾᏓᎪᎲᎢ	do¹gị²nạ²da²go²hv²³ɂi	doo1gi2na2daa2goo2hvv23-i
ᏙᏍᏓᏓᏙᎵᎦ	do¹sdạ²da²dohl²ga	doo1sda2daa2dohl2ga
ᏬᎩᎾᏓᏚᎳ	wo¹gị²nạ²dạ²du²³la	woo1gi2na2da2duu23la
ᎠᏓ	ạ²da²	a2da2
ᏨᏌ	jv²³sa	jvv23sa
ᎤᎬᎢ	u¹gv²³ɂi	uu1gvv23-i
ᎯᎪᏩᏔ	hi²go¹wah²ta	hii2goo1wah2ta
ᎨᎦ	ge³ga	gee3ga
ᎠᏋᏌ	a¹gwv²³sa	aa1gwvv23sa
ᏚᎬᎢ	du²gv²³ɂi	duu2gvv23-i
ᎬᎪᏩᏔ	gv²go¹wah²ta²	gvv2goo1wah2ta2
ᎭᏓ	hạ²da²	ha2da2
ᎢᎬᏌ	i¹gv²³sa	ii1gvv23sa
ᏓᎩᎠ	dạ²gị³ɂa	da2gi3-a
ᎠᏁᎦ	a¹ne³ga	aa1nee3ga
ᎢᎾᏓ	i¹nạ²da²	ii1na2da2
ᎣᎬᏌ	o¹gv²³sa	oo1gvv23sa
ᎠᎪᎵᎦ	a¹go²li¹ga	aa1goo2lii1ga
ᎢᏓᏓ	i¹dạ²da²	ii1da2da2
ᎤᏅᏌ	u¹nv²³sa	uu1nvv23sa
ᎡᎦᏚᎳ	e¹gạ²du²³la²	ee1ga2duu23la2
ᎢᏣᏓ	i¹jạ²da²	ii1ja2da2
ᎡᎾᏚᎳ	e¹nạ²du²³la²	ee1na2duu23la2
ᏥᎪᏩᏔ	ji²go¹wah²ta²	jii2goo1wah2ta2
ᎣᏤᎦ	o¹je³ga	oo1jee3ga
ᎩᏅᏌ	gị²nv²³sa	gi2nvv23sa
ᏗᏂᎦ	dị³ni²ga	di3nii2ga
ᎡᏓᏚᎳ	e¹dạ²du²³la²	ee1da2duu23la2
ᏍᏓᏓ	sdạ²da²	sda2da2
ᏗᏗᎦ	dị²di²ga	di2dii2ga
ᎡᏣᏚᎳ	e¹jạ²du²³la²	ee1ja2duu23la2
ᎣᎩᏅᏌ	o¹gị²nv²³sa	oo1gi2nvv23sa
ᎣᏍᏕᎦ	o²sde³ga	oo2sdee3ga
ᏓᎩᎬᎢ	da¹gị²gv²³ɂi	daa1gi2gvv23-i
ᏓᏂᎩᎠ	da¹ni²gị³ɂa	daa1nii2gi3-a
ᏕᎯᎦ	de²hị²ga²	dee2hi2ga2
ᎡᏦᎵᎦ	e¹johl²ga²	ee1johl2ga2
ᏕᏣᎬᎢ	de²jạ²gv²³ɂi	dee2ja2gvv23-i
ᎦᎯᎪᏩᏔ	gạ²hi²go¹wah²ta	ga2hii2goo1wah2ta
ᏕᏥᎭ	de³ji²ha	dee3jii2ha
ᏕᏥᎩᎠ	de²jị²gị³ɂa	dee2ji2gi3-a
ᏙᏥᎩᎠ	do¹ji²gị³ɂa	doo1jii2gi3-a
ᎨᎾᏚᎳ	ge²nạ²du²³la²	gee2na2duu23la2
ᎨᏓᏚᎳ	ge²dạ²du²³la²	gee2da2duu23la2
ᏕᏍᏗᎭ	de²sdi²ha	dee2sdii2ha
ᎥᏉᎵᎦ	v¹gwohl²ga	vv1gwohl2ga
ᎨᏣᏚᎳ	ge²jạ²du²³la²	gee2ja2duu23la2
ᎤᏓᎪᎲᎢ	u¹da²go²hv²³ɂi	uu1daa2goo2hvv23-i
ᏙᏍᏗᎩᎠ	do¹sdi²gị³ɂa	doo1sdii2gi3-a
ᎨᎪᎵᎦ	ge²go²li¹ga²	gee2goo2lii1ga2
ᎨᎪᎵᎦ	ge²gohl²ga	gee2gohl2ga
ᎢᏨᎪᏩᏔ	i¹jv²go¹wah²ta²	ii1jvv2goo1wah2ta2
ᎪᎪᎵᎦ	go²gohl²ga	goo2gohl2ga
ᏍᏆᏚᎳ	sgwạ²du²³la²	sgwa2duu23la2
ᎪᏦᎵᎦ	go²johl²ga	goo2johl2ga
ᎦᏥᎪᏩᏔ	gạ²ji²go¹wah²ta²	ga2jii2goo1wah2ta2
ᎬᏉᎵᎦ	gv²gwohl²ga	gvv2gwohl2ga
ᏕᎦᏚᎳ	de³gạ²du²³la²	dee3ga2duu23la2
ᎨᏣᎪᏩᏔ	ge²jạ²go¹wah²ta²	gee2ja2goo1wah2ta2
ᏙᎦᏚᎳ	do¹gạ²du²³la²	doo1ga2duu23la2
ᏚᎾᏚᎳ	du¹nạ²du²³la²	duu1na2duu23la2
ᎠᏓᏙᎵᎦ	a¹da²dohl²ga²	aa1daa2dohl2ga2
ᏗᏣᏙᎵᎩ	dị²jạ²da²dohl²gi	di2ja2daa2dohl2gi
ᎡᎩᎾᏚᎳ	e¹gị²nạ²du²³la²	ee1gi2na2duu23la2
ᎡᏍᏓᏚᎳ	e¹sdạ²du²³la²	ee1sda2duu23la2
ᏍᏛᎪᏩᏔ	sdv²go¹wah²ta²	sdvv2goo1wah2ta2
ᎢᏍᎩᎪᏩᏔ	i¹sgi²go¹wah²ta	ii1sgii2goo1wah2ta
ᏣᏓᎪᎲᎢ	jạ²da²go²hv²³ɂi	ja2daa2goo2hvv23-i
ᎠᏆᏓᎪᎲᎢ	a¹gwạ²da²go²hv²³ɂi	aa1gwaa2daa2goo2hvv23-i
ᎦᏓᏙᎵᎦ	gạ²da²dohl²ga²	ga2daa2dohl2ga2
ᎢᎦᏓᎪᎲᎢ	i¹gạ²da²go²hv²³ɂi	ii1ga2daa2goo2hvv23-i
ᎨᎩᏃᎵᎦ	ge²gị²nohl²ga	gee2gi2nohl2ga
ᎢᏣᏓᎪᎲᎢ	i¹jạ²da²go²hv²³ɂi	ii1ja2daa2goo2hvv23-i
ᎣᎦᏓᎪᎲᎢ	o¹gạ²da²go²hv²³ɂi	oo1ga2daa2goo2hvv23-i
ᎨᏍᏓᏚᎳ	ge²sdạ²du²³la²	gee2sda2duu23la2
ᎪᎩᏃᎵᎦ	go²gị²nohl²ga	goo2gi2nohl2ga
ᎪᏍᏙᎵᎦ	go²sdohl²ga	goo2sdohl2ga
ᎭᏓᏙᎵᎦ	hạ²da²dohl²ga	haa2daa2dohl2ga
ᎤᎾᏓᎪᎲᎢ	u¹nạ²da²go²hv²³ɂi	uu1na2daa2goo2hvv23-i
ᏍᎩᎾᏚᎳ	sgị²nạ²du²³la²	sgi2na2duu23la2
ᎩᎾᏓᎪᎲᎢ	gị²nạ²da²go²hv²³ɂi	gi2na2daa2goo2hvv23-i
ᎠᎾᏓᏙᎵᎦ	a¹nạ²da²dohl²ga²	aa1naa2daa2dohl2ga2
ᏕᎩᎾᏚᎳ	de²gị²nạ²du²³la²	dee2gi2na2duu23la2
ᎢᎾᏓᏙᎵᎦ	i¹nạ²da²dohl²ga	ii1na2daa2dohl2ga
ᏍᏓᏓᎪᎲᎢ	sdạ²da²go²hv²³ɂi	sdaa2daa2goo2hvv23-i
ᎢᏓᏓᏙᎵᎦ	i¹dạ²da²dohl²ga	ii1da2daa2dohl2ga
ᏕᎦᏓᎪᎲᎢ	de³gạ²da²go²hv²³ɂi	dee3ga2daa2goo2hvv23-i
ᏗᏍᏓᏙᎵᎩ	dị²sdạ²da²dohl²gi	di2sdaa2daa2dohl2gi
ᏙᎦᏓᏚᎵᎭ	do¹gạ²dạ²du²lị³ha	doo1ga2da2duu2li3ha
ᏙᎩᎾᏚᎳ	do¹gị²nạ²du²³la²	doo1gi2na2duu23la2
ᎣᏣᏓᏙᎵᎦ	o¹jạ²da²dohl²ga²	oo1ja2daa2dohl2ga2
ᏚᎾᏓᏚᎵᎭ	du¹nạ²dạ²du²lị³ha	duu1na2da2duu2li3ha
ᏓᎾᏓᏙᎵᎦ	da¹nạ²da²dohl²ga²	daa1naa2daa2dohl2ga2
ᏕᎾᏓᏙᎵᎦ	de³nạ²da²dohl²ga	dee3na2daa2dohl2ga
ᏕᏓᏓᏙᎵᎦ	de³dạ²da²dohl²ga	dee3da2daa2dohl2ga
ᎣᎩᎾᏓᎪᎲᎢ	o¹gị²nạ²da²go²hv²³ɂi	oo1gi2na2daa2goo2hvv23-i
ᏙᏣᏓᏙᎵᎦ	do¹jạ²da²dohl²ga²	doo1ja2daa2dohl2ga2
ᏕᎩᎾᏓᎪᎲᎢ	de²gị²nạ²da²go²hv²³ɂi	dee2gi2na2daa2goo2hvv23-i
ᏙᎩᎾᏓᏚᎵᎭ	do¹gị²nạ²dạ²du²lị³ha	doo1gi2na2da2duu2li3ha
ᎣᏍᏓᏓᏙᎵᎦ	o¹sdạ²da²dohl²ga²	oo1sda2daa2dohl2ga2
ᏙᏍᏓᏓᏙᎵᎦ	do¹sdạ²da²dohl²ga²	doo1sda2daa2dohl2ga2
ᎡᎦ	e³ga	ee3ga
ᏨᏌ	jv⁴sa	jvv4sa
ᎤᎰᎢ	u¹ho³ɂi	uu1hoo3-i
ᎨᎾ	ge¹na²	gee1na2
ᎠᏋᏌ	a¹gwv⁴sa	aa1gwvv4sa
ᏚᎰᎢ	du²ho³ɂi	duu2hoo3-i
ᎮᎦ	he³ga	hee3ga
ᎢᎬᏌ	i¹gv⁴sa	ii1gvv4sa
ᎯᎪᏩᏔ	hi²go¹wah²ta²	hii2goo1wah2ta2
ᎠᏁᎾ	a¹ne¹na²	aa1nee1na2
ᎢᏁᎦ	i¹ne³ga	ii1nee3ga
ᎣᎬᏌ	o¹gv⁴sa	oo1gvv4sa
ᎠᎪᎵᎦ	a¹go²li¹ga²	aa1goo2lii1ga2
ᎢᏕᎦ	i¹de³ga	ii1dee3ga
ᎤᏅᏌ	u¹nv⁴sa	uu1nvv4sa
ᎡᏦᎵᎩ	e¹johl²gi	ee1johl2gi
ᎢᏤᎦ	i¹je³ga	ii1jee3ga
ᎣᏤᎾ	o¹je¹na²	oo1jee1na2
ᎩᏅᏌ	gị²nv⁴sa	gi2nvv4sa
ᎡᎪᎵᎦ	e¹go²li¹ga	ee1goo2lii1ga
ᏍᏕᎦ	sde³ga	sdee3ga
ᎡᏃᎵᎦ	e¹no²li¹ga	ee1noo2lii1ga
ᏗᏥᎦ	dị²ji²ga	di2jii2ga
ᎡᏙᎵᎦ	e¹do²li¹ga	ee1doo2lii1ga
ᎣᎩᏅᏌ	o¹gị²nv⁴sa	oo1gi2nvv4sa
ᎣᏍᏕᎾ	o²sde¹na²	oo2sdee1na2
ᎡᏦᎵᎦ	e¹jo²li¹ga	ee1joo2lii1ga
ᏓᎩᎰᎢ	da¹gị²ho³ɂi	daa1gi2hoo3-i
ᏫᏗᎦ	wị²dị²ga	wi2di2ga
ᏕᎩᎬᎢ	de³gi²gv²³ɂi	dee3gii2gvv23-i
ᏕᎯᎩᎠ	de²hị²gị³ɂa	dee2hi2gi3-a
ᏕᏂᎩᎠ	de³ni²gị³ɂa	dee3nii2gi3-a
ᏕᏣᎰᎢ	de²jạ²ho³ɂi	dee2ja2hoo3-i
ᏕᏗᎩᎠ	de³di²gị³ɂa	dee3dii2gi3-a
ᏗᏍᏗᎦ	dị²sdi²ga	di2sdii2ga
ᏙᎩᎬᎢ	do¹gi²gv²³ɂi	doo1gii2gvv23-i
ᎤᏓᏚᎵᎭ	u¹dạ²du²lị³ha	uu1da2duu2li3ha
ᏚᏂᎬᎢ	du¹ni²gv²³ɂi	duu1nii2gvv23-i
ᏫᏗᏥᎦ	wị²dị²jị²ga	wi2di2ji2ga
ᏫᏦᏥᎦ	wị²jo¹ji²ga	wi2joo1jii2ga
ᏕᎩᏂᎬᎢ	de²gị²ni²gv²³ɂi	dee2gi2nii2gvv23-i
ᎥᏉᎵᎦ	v¹gwohl²ga²	vv1gwohl2ga2
ᏙᎩᏂᎬᎢ	do¹gị²ni²gv²³ɂi	doo1gi2nii2gvv23-i
ᏫᏦᏍᏗᎦ	wị²jo¹sdi²ga	wi2joo1sdii2ga
ᎨᎪᎵᎪᎢ	ge²go²li²go³ɂi	gee2goo2lii2goo3-i
ᎨᎪᎵᎦ	ge²gohl²ga²	gee2gohl2ga2
ᎨᏃᎵᎦ	ge²nohl²ga	gee2nohl2ga
ᎨᏙᎵᎦ	ge²do²li¹ga	gee2doo2lii1ga
ᎨᏦᎵᎦ	ge²johl²ga	gee2johl2ga
ᎬᏯᏚᎳ	gv²yạ²du²³la²	gvv2ya2duu23la2
ᏩᏓᎪᏩᏔ	wa¹da²go¹wah²ta	waa1daa2goo1wah2ta
ᎦᎯᎪᏩᏔ	gạ²hi²go¹wah²ta²	ga2hii2goo1wah2ta2
ᎪᎪᎵᎦ	go²gohl²ga²	goo2gohl2ga2
ᎦᏓᎪᏩᏘᎭ	gạ²da²gowh²tị³ha	ga2daa2gowh2ti3ha
ᎪᏦᎵᎦ	go²johl²ga²	goo2johl2ga2
ᎬᏉᎵᎦ	gv²gwohl²ga²	gvv2gwohl2ga2
ᏍᏉᎵᎦ	sgwo²li¹ga	sgwoo2lii1ga
ᏓᏃᎵᎦ	da¹nohl²ga	daa1nohl2ga
ᏣᏓᏚᎵᎭ	jạ²dạ²du²lị³ha	ja2da2duu2li3ha
ᏥᏯᏚᎳ	ji²yạ²du²³la²	jii2ya2duu23la2
ᎠᏆᏓᏚᎵᎭ	a¹gwạ²dạ²du²lị³ha	aa1gwaa2da2duu2li3ha
ᎡᎩᏃᎵᎦ	e¹gị²no²li¹ga	ee1gi2noo2lii1ga
ᎡᏍᏙᎵᎦ	e¹sdo²li¹ga	ee1sdoo2lii1ga
ᎢᎦᏓᏚᎵᎭ	i¹gạ²dạ²du²lị³ha	ii1ga2da2duu2li3ha
ᎢᏨᏯᏚᎳ	i¹jv²yạ²du²³la²	ii1jvv2ya2duu23la2
ᎢᏣᏓᎪᏩᏔ	i¹jạ²da²go¹wah²ta	ii1ja2daa2goo1wah2ta
ᎣᎦᏓᏚᎵᎭ	o¹gạ²dạ²du²lị³ha	oo1ga2da2duu2li3ha
ᏫᎨᏣᏚᎳ	wị²ge²jạ²du²³la	wi2gee2ja2duu23la
ᎤᎾᏓᏚᎵᎭ	u¹nạ²dạ²du²lị³ha	uu1na2da2duu2li3ha
ᏍᏓᏓᎪᏩᏔ	sdạ²da²go¹wah²ta	sdaa2daa2goo1wah2ta
ᎦᏥᏯᏚᎳ	gạ²ji²yạ²du²³la²	ga2jii2ya2duu23la2
ᎨᎩᏃᎵᎦ	ge²gị²nohl²ga²	gee2gi2nohl2ga2
ᎨᏍᏙᎵᎦ	ge²sdohl²ga	gee2sdohl2ga
ᎪᎩᏃᎵᎦ	go²gị²nohl²ga²	goo2gi2nohl2ga2
ᎪᏍᏙᎵᎦ	go²sdohl²ga²	goo2sdohl2ga2
ᎩᎾᏓᏚᎵᎭ	gị²nạ²dạ²du²lị³ha	gi2na2da2duu2li3ha
ᏩᎾᏓᎪᏩᏔ	wa¹nạ²da²go¹wah²ta	waa1naa2daa2goo1wah2ta
ᎭᏓᏙᎵᎦ	hạ²da²dohl²ga²	haa2daa2dohl2ga2
ᏍᎩᏃᎵᎦ	sgị²no²li¹ga	sgi2noo2lii1ga
ᎢᏍᎩᎪᏩᏔ	i¹sgi²go¹wah²ta²	ii1sgii2goo1wah2ta2
ᏍᏛᏯᏚᎳ	sdv²yạ²du²³la²	sdvv2ya2duu23la2
ᏕᎦᏓᏚᎵᎭ	de³gạ²dạ²du²lị³ha	dee3ga2da2duu2li3ha
ᎢᎾᏓᏙᎵᎦ	i¹nạ²da²dohl²ga²	ii1na2daa2dohl2ga2
ᎢᏓᏓᏙᎵᎦ	i¹dạ²da²dohl²ga²	ii1da2daa2dohl2ga2
ᏦᎦᏓᏚᎸᏗ	jo¹gạ²dạ²duhl²di	joo1ga2da2duhl2di
ᏧᎾᏓᏚᎸᏗ	ju¹nạ²dạ²duhl²di	juu1na2da2duhl2di
ᏕᏣᏓᎪᎲᎢ	de³jạ²da²go²hv²³ɂi	dee3ja2daa2goo2hvv23-i
ᏕᎾᏓᏙᎵᎦ	de³nạ²da²dohl²ga²	dee3na2daa2dohl2ga2
ᎣᎩᎾᏓᏚᎵᎭ	o¹gị²nạ²dạ²du²lị³ha	oo1gi2na2da2duu2li3ha
ᏕᏓᏓᏙᎵᎦ	de³dạ²da²dohl²ga²	dee3da2daa2dohl2ga2
ᏕᎩᎾᏓᏚᎵᎭ	de²gị²nạ²dạ²du²lị³ha	dee2gi2na2da2duu2li3ha
ᏦᎩᎾᏓᏚᎸᏗ	jo¹gị²nạ²dạ²duhl²di	joo1gi2na2da2duhl2di
ᏬᏣᏓᎪᏩᏔ	wo¹jạ²da²go¹wah²ta	woo1ja2daa2goo1wah2ta
ᏕᏍᏓᏓᎪᎲᎢ	de²sdạ²da²go²hv²³ɂi	dee2sdaa2daa2goo2hvv23-i
ᏫᏗᎾᏙᎵᎩ	wị²dị²nạda²dohl²gi	wi2di2nadaa2dohl2gi
ᏫᏦᏣᏙᎵᎩ	wị²jo¹jạ²da²dohl²gi	wi2joo1ja2daa2dohl2gi
ᏫᏦᏍᏓᏙᎵᎩ	wị²jo¹sdạ²da²dohl²gi	wi2joo1sda2daa2dohl2gi
